building_type,building_area_per_spot,units_per_spot,students_per_spot,beds_per_spot,parking_area_per_spot
SmallOffice,250,,,,405
MediumOffice,250,,,,405
LargeOffice,620,,,,405
Retail,285.7,,,,405
StripMall,215,,,,405
PrimarySchool,,,17,,405
SecondarySchool,,,8,,405
Outpatient,200,,,,405
Hospital,,,,0.83,405
SmallHotel,,1,,,405
LargeHotel,,1,,,405
Warehouse,1000,,,,405
QuickServiceRestaurant,100,,,,405
FullServiceRestaurant,100,,,,405
MidriseApartment,,0.45,,,405
HighriseApartment,,0.45,,,405
SuperMarket,285.7,,,,405
Parking surface,,,,,405
Parking garage,,,,,486
SmallDataCenterLowITE,0,,,,405
SmallDataCenterHighITE,0,,,,405
LargeDataCenterLowITE,0,,,,405
LargeDataCenterHighITE,0,,,,405
SmallOfficeDetailed,250,,,,405
MediumOfficeDetailed,250,,,,405
LargeOfficeDetailed,620,,,,405
Courthouse,250,,,,405
College,250,,,,405
Laboratory,250,,,,405
Asm,285.7,,,,405
ECC,,,8,,405
EPr,,,17,,405
ERC,,,8,,405
ESe,,,8,,405
EUn,,,30,,405
Gro,285.7,,,,405
Hsp,,,,0.83,405
Htl,,1,,,405
MBT,1000,,,,405
MFm,,0.45,,,405
MLI,1000,,,,405
Mtl,,1,,,405
Nrs,,1,,,405
OfL,250,,,,405
OfS,250,,,,405
RFF,100,,,,405
RSD,100,,,,405
Rt3,285.7,,,,405
RtL,285.7,,,,405
RtS,285.7,,,,405
SCn,1000,,,,405
SUn,1000,,,,405
WRf,1000,,,,405
