Demolitions and New Construction,,,,
Planned for Demolition - 4 Wing please verify and update,,,,
Bld: PRIN Number,Bld: PRIN Name,Bld: PRIN Address,demo/replacement date,
22122.0,Hangar 1,H1 - Hangar Lane,to be replaced 2022 w 5000 sq.ft.,
22123.0,Hangar 2,H2 - Hangar Lane,to be replaced 2021 w 6000 sq.ft.,
22124.0,Hangar 3,H3 - Hangar Lane,to be replaced 2019 w 6000 sq.ft.,
22126.0,Hangar 6,H6 - Hangar Lane,to be replaced 2017 w 6000 sq.ft.,
22129.0,Fire Hall,B4 - Athabasca Road,to be demolished  ,
22146.0,Officers Mess,B20-Timberline Drive,to be demolished  ,
22153.0,NCO Mess,B30 - Queensway,to be demolished  ,
22156.0,All Ranks Mess,B40-Queensway,to be demolished  ,
22157.0,Club 41,B41-Beaverlodge Road,to be demolished  ,
22167.0,RC Chapel,B53-Queensway,to be demolished  ,
63089.0,Maple Flag Quarters 1 or storage building,B165 - Kingsway,to be demolished  ,
63090.0,Maple Flag Quarters 2 or storage building,B166 - Kingsway,to be demolished  ,
,,,,
Planned New Buildings - 4 Wing please verify and update,,,,
construction year,name,location,"gross floor area, sq.m",Does it replace an existing building?
2011.0,100 p. accomodation,beside trimess,5000.0, 
2011.0,100 p. accomodation,beside trimess,5000.0, 
2011.0,100 p. accomodation,beside trimess,5000.0, 
2011.0,school/daycare,@B82,7500.0, 
2012.0,firehall,beside H7,1500.0, 
2012.0,RTF,beside B84,, 
2013.0,trimess,"between B20,30,40",4000.0, 
2013.0,Canex,across from B69,10000.0, 
2014.0,airport tower,south of H1,500.0,
2014.0,chapel,,600.0,
2015.0,100 apartmt (750sq.ft ea),,7500.0,
2017.0,Hangar 6,H6 - Hangar Lane,6000.0,replaces Hangar 6
2019.0,Hangar 3,H3 - Hangar Lane,6000.0,replaces Hangar 3
2021.0,Hangar 2,H2 - Hangar Lane,6000.0,replaces Hangar 2
2022.0,Hangar 1,H1 - Hangar Lane,5000.0,replaces Hangar 1
,,,,
,,,,
 Canmet Energy's Questions,,,,
,,,,
Are there Energy intensity performance targets for new buildings?  ,,,,
,,,,
"Are any buildings anticipated to undergo major changes of use? If so, which ones, what will their use by changed to?",,,,
