Proposed Energy Conservation Measures for Buildings,,,,,,,,,,,,,,,,
,Type,Energy Conservation Measure Name,Short Description of ECM,Controls Based,Interaction of ECMs,How Modelled?,Costed?,Cost Units,Reference or Source for assumptions , Long Description of ECM / for Modelling,Cold Lake Audit Notes (Matthew's),Comments,Application Rate,Implementation,Miscellaneous / Other Benefits,4 Wing Comments?
1.0,Ventilation,Occupancy control for exhaust fans ,A sensor determines when a space is unoccupied and the control shuts off exhaust fans and make-up air units (MUA). Saves fan energy (electricity) and heating.,yes,,not modelled for Trenton. could be modelled in OS,yes,,Followed the MNECB or real schedule for fan operation,same as short description, ,Seems to pay back well on a ½ h.p. fan running 24/7.  Phylroy would need to schedule exhaust fans distinctly from air handlers, % of buildings or floor space this ECM applies to ,,,
2.0,Ventilation,Demand controlled ventilation (DCV) control,"Minimizes the delivery of ventilation air by measuring the carbon dioxide concentration in the space, and delivering enough air to meet the building code. Installed in AHUs and RTUs. Saves on fan energy and heating. ",yes,overlap with VFD. Increases heating,OS,yes. Did not include the cost of a VFD,,"MNECB 1997 schedules for fan operation, or real schedule","Adjusts the rate of ventilation air delivered to a space by measuring the carbon dioxide concentration in the space. When there are no occupants in the space, ventilation is minimized, saving on fan energy. Two types of demand control ventilation devices assessed: sensors in occupied spaces controlling airflow to the space and sensors in return air duct controlling operation of the  air handler.",I observed strong ventilation running in the REC Centre squash courts and activities room while unoccupied.  ,Risk of comfort problems according to staff. Building specific. Should package DCV with VFD ECM., % of buildings or floor space this ECM applies to ,"Control prioritizes space temperature before ventilation. Must not interfere with existing pre-cooling practice.   For RTUs an alternate to this ECM could be the Advanced RTU Controller 'Catalyst' that combines fan speed, economizer and DCV controls and saves 25% to 50%.  ","Where mechanical cooling is undersized, this ECM would keep buildings cooler by reducing the addition of warm outdoor air  during summer",
3.0,Ventilation,Variable frequency drive (VFD) control for air handler fans ,"A VFD adjusts the fan speed to match the actual need for ventilation air, heating or cooling.  Installed in constant speed AHUs and RTUs. This saves on fan energy, heating and cooling.",yes,overlap with DCV. Increases heating,OS,yes,,"Assume existing fans have constant speed, based on MNECB 1997. We will assume a typical fan type curve.","For constant speed AHUs and RTUs, a controller which measures the return air/outdoor air temperatures and adjusts the fan motor to maintain a return air temperature or to adjust the volume of air delivered to maintain return air temperature and/or carbon dioxide in return air stream. A 20% lower fan speed saves 50% of the fan energy. Also reduces the cost to condition outside air.",Some AHU fans have VFDs (REC Centre has at least one AHU). They can be problematic according to Rob Williams,"Needed for DCV. Can program VFD to respond to duct static pressure, zone temperature, or CO2 concentration.  ", % of buildings or floor space this ECM applies to ,"For RTUs an alternate to this ECM could be the Advanced RTU Controller 'Catalyst' that combines fan speed, economizer and DCV controls and saves 25% to 50%.  ",,
4.0,Plug Loads,Occupancy sensor control for plug loads,"A PIR + ultrasonic sensor turns on a circuit for wall plugs when it is activated by a person entering the room. After the occupant leaves the room and there is no activity sensed, a timer turns the circuit off, saving on electricity.",yes,,manual,yes,,MNECB 1997 by space type,same as short description,"Many personal heaters and fans are used in offices. This ECM could ensure they are being shut off at night, as well as computers and office equipment.",, % of buildings or floor space this ECM applies to ,,,
5.0,Lighting,Replacement of T8 lamp fixtures with T5s,Replace existing T8 and T12 fixtures with dimmable T5 fixtures. This saves approximately 30% on electricity.,no,"increases heating, reduces cooling",OS with a manual factor of 30%. Used W/m2 in model and no fixture counts,yes,,MNECB 1997 by space type,"Lighting energy was reduced by 30% over MNECB energy levels per space by assuming existing T8 fluorescent fixtures in offices, barracks, warehouses).", ,Lighting contributes useful space heating in some spaces and conversely adds to cooling loads. In high bay spaces it is assumed not to contribute to space heating., % of buildings or floor space this ECM applies to ,,,
6.0,Lighting,Replacement of metal halide lamp fixtures with T5s,"Replace  existing 400W or 250W Metal Halide lamps with high-intensity, instant start, T5 fixtures. This saves approximately 50%.",no,"increases heating, reduces cooling",OS with a manual factor of 30%. Used W/m2 in model and no fixture counts,yes,,MNECB 1997 by space type,Lighting energy was reduced by 30% over MNECB energy levels per space by assuming existing metal halide fixtures (400W) in hangers and workshops and metal halide fixtures (250W) in gyms and recreational high bay spaces,various wattages of metal halides were observed. ,Assume same floor area application as Trenton. Set HIDs to 5% space heat. Note other benefits of fluorescent e.g. lumen depreciation, % of buildings or floor space this ECM applies to ,,Alert Hangars with metal halide lights left on 24/7 could potentially turn off fluorescents if they are instant start. Since metal halides takes time to warm up they are currently left on at all times.   ,
7.0,Lighting,Occupancy sensor control for lighting,"A PIR + ultrasonic sensor turns on a circuit for lights when it is activated by a person entering the room. After the occupant leaves the room and there is no activity, a timer turns the circuit off, saving on electricity.",yes,"increases heating, reduces cooling",not modelled for Trenton,"yes, same sensor used for plug loads",,MNECB 1997 by space type,same as short description,"could apply to workshops, mechanical rooms, bathrooms – tend to be infrequently occupied",Include a paragraph on photocells for outdoor lighting, % of buildings or floor space this ECM applies to ,,,
8.0,Heating, Upgrade of pump and fan motors  ,Replace standard efficiency pump and fan motors with NEMA rated Premium efficiency motors. Saves in the order of 5% of electricity.,no,increases heating,not modelled for Trenton. could be modelled in OS,yes,,Start with MNECB 1997 values,same as short description,,Need to assume efficiency of typical existing motor, % of buildings or floor space this ECM applies to ,This could be part of a motor replacement program or a regular maintenance plan. Staff could use Motormaster.com software to inventory and select motors,,
9.0,Heating,Outdoor air  temperature reset control for hot water loop ,A controller that measures the outdoor air temperature and raises or lowers the hot water loop temperature to better match the building heat loss. It saves energy by minimizing heat loss in the distribution and boiler stack since the boiler cycles less often.,yes,VSD on pumps,not modelled for Trenton. could be modelled in OS. To be determined,yes,,NECB 2011 sequence for boilers,A hot water reset control measures the outside air temperature; this information is used to estimate the building heating load as the outdoor temperature varies. The supply hot water temperature is modulated up and down range in an inverse linear ratio to outside air temperature. The typical range for conventional boilers is to vary the supply water temperature from 60 .. 82 ⁰C as the outside temperature varies from +18 .. -18 ⁰C.,Outdoor Air Reset of Hot Water Converters:  This is supposed to be currently installed in buildings heated by the DES. Was installed by MCW in 1998-2001.,REC centre has it. Assume that buildings newer than 15 year old  include it.   , % of buildings or floor space this ECM applies to ,,Boiler low-limit setting of 180F seems to prevent the Outdoor air reset from setting as low as it could potentially go. ,
10.0,Heating,Variable speed drive (VSD) control for hydronic/heating pumps,"A VSD varies the speed of a  hydronic pump as the need for heat in the building changes. For example in warmer weather, the pump speed can be reduced.  Saves on heating and pumping energy. ",yes,Outdoor air reset ,OS,yes,,"Assume existing pumps have constant speed, based on MNECB 1997.  ",VSD controller for a  pump along with a 2-way valve on the hydronic loop which measures the return water temperature and adjusts the pump motor and the 2-way valve position to maintain a design temperature differential.  Savings are in heating and pump energy . A 20% lower speed saves 50% of pumping energy.,Pool water pumps – base speed on pool water turbidity. This should ramp down pumping at night, , % of buildings or floor space this ECM applies to ,,Didn’t energy model this.   ,
