id,method,lighting_primary_space_type,lighting_per_area,lighting_secondary_space_type,lighting_per_area_unit,annotation
1,BA,Automotive Facility,0.9,General,W/ft2,
2,BA,Convention Center,1.2,General,W/ft2,
3,BA,Court House,1.2,General,W/ft2,
4,BA,Dining: Bar Lounge/Leisure,1.3,General,W/ft2,
5,BA,Dining: Cafeteria/Fast Food,1.4,General,W/ft2,
6,BA,Dining: Family,1.6,General,W/ft2,
7,BA,Dormitory,1,General,W/ft2,
8,BA,Exercise Center,1,General,W/ft2,
9,BA,Gymnasium,1.1,General,W/ft2,
10,BA,Health Care-Clinic,1,General,W/ft2,
11,BA,Hospital,1.2,General,W/ft2,
12,BA,Hotel,1,General,W/ft2,
13,BA,Library,1.3,General,W/ft2,
14,BA,Manufacturing Facility,1.3,General,W/ft2,
15,BA,Motel,1,General,W/ft2,
16,BA,Motion Picture Theater,1.2,General,W/ft2,
17,BA,Multi-Family,0.7,General,W/ft2,
18,BA,Museum,1.1,General,W/ft2,
19,BA,Office,1,General,W/ft2,
20,BA,Parking Garage,0.3,General,W/ft2,
21,BA,Penitentiary,1,General,W/ft2,
22,BA,Performing Arts Theater,1.6,General,W/ft2,
23,BA,Police/Fire Station,1,General,W/ft2,
24,BA,Post Office,1.1,General,W/ft2,
25,BA,Religious Building,1.3,General,W/ft2,
26,BA,Retail,1.5,General,W/ft2,
27,BA,School/University,1.2,General,W/ft2,
28,BA,Sports Arena,1.1,General,W/ft2,
29,BA,Town Hall,1.1,General,W/ft2,
30,BA,Transportation,1,General,W/ft2,
31,BA,Warehouse,0.8,General,W/ft2,
32,BA,Workshop,1.4,General,W/ft2,
33,CS,Office-Enclosed,1.1,General,W/ft2,
34,CS,Office-Open Plan,1.1,General,W/ft2,
35,CS,Conference/Meeting/Multipurpose,1.3,General,W/ft2,
36,CS,Classroom/Lecture/Training,1.4,General,W/ft2,
37,CS,Classroom/Lecture/Training,1.3,For Penitentiary,W/ft2,
38,CS,Lobby,1.3,General,W/ft2,
39,CS,Lobby,1.1,For Hotel,W/ft2,
40,CS,Lobby,3.3,For Performing Arts Theater,W/ft2,
41,CS,Lobby,1.1,For Motion Picture Theater,W/ft2,
42,CS,Audience/Seating Area,0.9,General,W/ft2,
43,CS,Audience/Seating Area,0.4,For Gymnasium,W/ft2,
44,CS,Audience/Seating Area,0.3,For Exercise Center,W/ft2,
45,CS,Audience/Seating Area,0.7,For Convention Center,W/ft2,
46,CS,Audience/Seating Area,0.7,For Penitentiary,W/ft2,
47,CS,Audience/Seating Area,1.7,For Religious Buildings,W/ft2,
48,CS,Audience/Seating Area,0.4,For Sports Arena,W/ft2,
49,CS,Audience/Seating Area,2.6,For Performing Arts Theater,W/ft2,
50,CS,Audience/Seating Area,1.2,For Motion Picture Theater,W/ft2,
51,CS,Audience/Seating Area,0.5,For Transportation,W/ft2,
52,CS,Atrium: First Three Floors,0.6,General,W/ft2,
53,CS,Atrium: Each Additional Floor,0.2,General,W/ft2,
54,CS,Lounge/Recreation,1.2,General,W/ft2,
55,CS,Lounge/Recreation,0.8,For Hospital,W/ft2,
56,CS,Dining Area,0.9,General,W/ft2,
57,CS,Dining Area,1.3,For Penitentiary,W/ft2,
58,CS,Dining Area,1.3,For Hotel,W/ft2,
59,CS,Dining Area,1.2,For Motel,W/ft2,
60,CS,Dining Area,1.4,For Bar Lounge/Leisure Dining,W/ft2,
61,CS,Dining Area,2.1,For Family Dining,W/ft2,
62,CS,Food Preparation,1.2,General,W/ft2,
63,CS,Laboratory,1.4,General,W/ft2,
64,CS,Restrooms,0.9,General,W/ft2,
65,CS,Dressing/Locker/Fitting Room,0.6,General,W/ft2,
66,CS,Corridor/Transition,0.5,General,W/ft2,
67,CS,Corridor/Transition,1,For Hospital,W/ft2,
68,CS,Corridor/Transition,0.5,For Manufacturing Facility,W/ft2,
69,CS,Stairs: Active,0.6,General,W/ft2,
70,CS,Active Storage,0.8,General,W/ft2,
71,CS,Active Storage,0.9,For Hospital,W/ft2,
72,CS,Inactive Storage,0.3,General,W/ft2,
73,CS,Inactive Storage,0.8,For Museum,W/ft2,
74,CS,Electrical/Mechanical,1.5,General,W/ft2,
75,CS,Workshop,1.9,General,W/ft2,
76,SS,Gymnasium/Exercise Center,1.4,Playing Area,W/ft2,
77,SS,Gymnasium/Exercise Center,0.9,Exercise Area,W/ft2,
78,SS,Courthouse/Police Station/Penitentiary,1.9,Courtroom,W/ft2,
79,SS,Courthouse/Police Station/Penitentiary,0.9,Confinement Cells,W/ft2,
80,SS,Courthouse/Police Station/Penitentiary,1.3,Judges Chambers,W/ft2,
81,SS,Fire Stations,0.8,Fire Station Engine Room,W/ft2,
82,SS,Fire Stations,0.3,Sleeping Quarters,W/ft2,
83,SS,Post Office: Sorting Area,1.2,General,W/ft2,
84,SS,Convention Center: Exhibit Space,1.3,General,W/ft2,
85,SS,Library,1.1,Card File and Cataloging,W/ft2,
86,SS,Library,1.7,Stacks,W/ft2,
87,SS,Library,1.2,Reading Area,W/ft2,
88,SS,Hospital,2.7,Emergency,W/ft2,
89,SS,Hospital,0.8,Recovery,W/ft2,
90,SS,Hospital,1,Nurse Station,W/ft2,
91,SS,Hospital,1.5,Exam/Treatment,W/ft2,
92,SS,Hospital,1.2,Pharmacy,W/ft2,
93,SS,Hospital,0.7,Patient Room,W/ft2,
94,SS,Hospital,2.2,Operating Room,W/ft2,
95,SS,Hospital,0.6,Nursery,W/ft2,
96,SS,Hospital,1.4,Medical Supply,W/ft2,
97,SS,Hospital,0.9,Physical Therapy,W/ft2,
98,SS,Hospital,0.4,Radiology,W/ft2,
99,SS,Hospital,0.6,Laundry: Washing,W/ft2,
100,SS,Automotive: Service/Repair,0.7,General,W/ft2,
101,SS,Manufacturing,1.2,Low Bay (<25 ft Floor to Ceiling Height),W/ft2,
102,SS,Manufacturing,1.7,High Bay (>25 ft Floor to Ceiling Height),W/ft2,
103,SS,Manufacturing,2.1,Detailed Manufacturing,W/ft2,
104,SS,Manufacturing,1.2,Equipment Room,W/ft2,
105,SS,Manufacturing,0.5,Control Room,W/ft2,
106,SS,Hotel/Motel Guest Rooms,1.1,General,W/ft2,
107,SS,Dormitory: Living Quarters,1.1,General,W/ft2,
108,SS,Museum,1,General Exhibition,W/ft2,
109,SS,Museum,1.7,Restoration,W/ft2,
110,SS,Bank/Office: Banking Activity Area,1.5,General,W/ft2,
111,SS,Religious Buildings,2.4,"Worship Pulpit, Choir",W/ft2,
112,SS,Religious Buildings,0.9,Fellowship Hall,W/ft2,
113,SS,Retail,1.7,Sales Area,W/ft2,
114,SS,Retail,1.7,Mall Concourse,W/ft2,
115,SS,Sports Arena,2.7,Ring Sports Area,W/ft2,
116,SS,Sports Arena,2.3,Court Sports Area,W/ft2,
117,SS,Sports Arena,1.4,Indoor Playing Field Area,W/ft2,
118,SS,Warehouse,1.4,Fine Material Storage,W/ft2,
119,SS,Warehouse,0.9,Medium/Bulky Material Storage,W/ft2,
120,SS,Parking Garage: Garage Area,0.2,General,W/ft2,
121,SS,Transportation,0.6,Airport: Concourse,W/ft2,
122,SS,Transportation,1,Air/Train/Bus: Baggage Area,W/ft2,
123,SS,Transportation,1.5,Terminal: Ticket Counter,W/ft2,
124,SS,Retail,1.6,Sales Additional (Specific Display),W/ft2,
125,SS,Retail,3.9,Sales Additional (Valuable Merchandise),W/ft2,
