id,electric_equipment_space_type_name,electric_equipment_minimum_epd,electric_equipment_average_epd,electric_equipment_median_epd,electric_equipment_maximum_epd,electric_equipment_epd_unit
1,corridor - all other,0,0.28,0.24,0.82,W/ft2
2,dining - all other,0.32,0.55,0.55,0.82,W/ft2
3,electrical/mechanical,0,0,0,0,W/ft2
4,kitchen,0.3,0.76,0.71,2.52,W/ft2
5,laboratory,0.49,0.78,0.7,2.02,W/ft2
6,lobby - all other,0.16,0.41,0.35,0.83,W/ft2
7,locker room,0,0.38,0.44,0.97,W/ft2
8,lounge/breakroom - all other,0,0.49,0.52,0.88,W/ft2
9,office - enclosed <= 250 sf,0.51,0.68,0.68,0.89,W/ft2
10,office - enclosed > 250 sf,0.65,0.7,0.69,0.82,W/ft2
11,office - open,0.53,0.66,0.67,0.81,W/ft2
12,restroom - all other,0,0,0,0,W/ft2
13,stairwell,0,0.25,0.25,0.53,W/ft2
14,storage < 50 sf - all other,0,0,0,0,W/ft2
15,storage 50 to 1000 sf - all other,0,0,0,0,W/ft2
16,vehicular maintenance,0.65,0.69,0.69,0.73,W/ft2
17,workshop,0,0.54,0.57,0.74,W/ft2
18,atrium - first three floors,0,0.52,0.54,0.75,W/ft2
19,audience seating - convention center,0.63,0.63,0.63,0.63,W/ft2
20,classroom/lecture/training - all other,0.5,0.63,0.62,0.8,W/ft2
21,conference/meeting/multipurpose,0.42,0.62,0.62,0.97,W/ft2
22,exhibit - convention center,0.84,0.84,0.84,0.84,W/ft2
23,gymnasium exercise area,0.27,0.48,0.49,0.68,W/ft2
24,gymnasium playing area,0,0.51,0.51,1.06,W/ft2
25,laundry/washing,0,0.39,0.39,0.59,W/ft2
26,lobby - elevator,0.32,0.32,0.32,0.32,W/ft2
27,nurses station,0,0.52,0.57,0.85,W/ft2
28,post office - sorting area,0,0.23,0.24,0.39,W/ft2
29,sales,0.41,0.67,0.67,0.92,W/ft2
30,"sports arena playing area, class IV",0.32,0.5,0.64,0.69,W/ft2
31,audience seating - all other,0.31,0.49,0.46,0.75,W/ft2
