method,lighting_primary_space_type,lighting_secondary_space_type,lighting_power_density,unit,rcr_threshold,automatic_daylight_responsive_controls_for_sidelighting,automatic_daylight_responsive_controls_for_toplighting,automatic_partial_off,automatic_full_off,scheduled_shutoff,annotation
BA,Automotive Facility,General,0.9,W/ft2,,,,,,,
BA,Convention Center,General,1.2,W/ft2,,,,,,,
BA,Court House,General,1.2,W/ft2,,,,,,,
BA,Dining: Bar Lounge/Leisure,General,1.3,W/ft2,,,,,,,
BA,Dining: Cafeteria/Fast Food,General,1.4,W/ft2,,,,,,,
BA,Dining: Family,General,1.6,W/ft2,,,,,,,
BA,Dormitory,General,1,W/ft2,,,,,,,
BA,Exercise Center,General,1,W/ft2,,,,,,,
BA,Gymnasium,General,1.1,W/ft2,,,,,,,
BA,Health Care-Clinic,General,1,W/ft2,,,,,,,
BA,Hospital,General,1.2,W/ft2,,,,,,,
BA,Hotel,General,1,W/ft2,,,,,,,
BA,Library,General,1.3,W/ft2,,,,,,,
BA,Manufacturing Facility,General,1.3,W/ft2,,,,,,,
BA,Motel,General,1,W/ft2,,,,,,,
BA,Motion Picture Theater,General,1.2,W/ft2,,,,,,,
BA,Multi-Family,General,0.7,W/ft2,,,,,,,
BA,Museum,General,1.1,W/ft2,,,,,,,
BA,Office,General,1,W/ft2,,,,,,,
BA,Parking Garage,General,0.3,W/ft2,,,,,,,
BA,Penitentiary,General,1,W/ft2,,,,,,,
BA,Performing Arts Theater,General,1.6,W/ft2,,,,,,,
BA,Police/Fire Station,General,1,W/ft2,,,,,,,
BA,Post Office,General,1.1,W/ft2,,,,,,,
BA,Religious Building,General,1.3,W/ft2,,,,,,,
BA,Retail,General,1.5,W/ft2,,,,,,,
BA,School/University,General,1.2,W/ft2,,,,,,,
BA,Sports Arena,General,1.1,W/ft2,,,,,,,
BA,Town Hall,General,1.1,W/ft2,,,,,,,
BA,Transportation,General,1,W/ft2,,,,,,,
BA,Warehouse,General,0.8,W/ft2,,,,,,,
BA,Workshop,General,1.4,W/ft2,,,,,,,
CS,Office-Enclosed,General,1.1,W/ft2,,,,,,,
CS,Office-Open Plan,General,1.1,W/ft2,,,,,,,
CS,Conference/Meeting/Multipurpose,General,1.3,W/ft2,,,,,REQ,,
CS,Classroom/Lecture/Training,General,1.4,W/ft2,,,,,REQ,,
CS,Classroom/Lecture/Training,For Penitentiary,1.3,W/ft2,,,,,REQ,,
CS,Lobby,General,1.3,W/ft2,,,,,,,
CS,Lobby,For Hotel,1.1,W/ft2,,,,,,,
CS,Lobby,For Performing Arts Theater,3.3,W/ft2,,,,,,,
CS,Lobby,For Motion Picture Theater,1.1,W/ft2,,,,,,,
CS,Audience/Seating Area,General,0.9,W/ft2,,,,,,,
CS,Audience/Seating Area,For Gymnasium,0.4,W/ft2,,,,,,,
CS,Audience/Seating Area,For Exercise Center,0.3,W/ft2,,,,,,,
CS,Audience/Seating Area,For Convention Center,0.7,W/ft2,,,,,,,
