method,lighting_primary_space_type,lighting_secondary_space_type,lighting_power_density,unit,rcr_threshold,automatic_daylight_responsive_controls_for_sidelighting,automatic_daylight_responsive_controls_for_toplighting,automatic_partial_off,automatic_full_off,scheduled_shutoff,annotation
BA,Automotive Facility,General,0.71,W/ft2,,,,,,,
BA,Convention Center,General,0.76,W/ft2,,,,,,,
BA,Courthouse,General,0.9,W/ft2,,,,,,,
BA,Dining: Bar Lounge/leisure,General,0.9,W/ft2,,,,,,,
BA,Dining: Cafeteria/Fast Food,General,0.79,W/ft2,,,,,,,
BA,Dining: Family,General,0.78,W/ft2,,,,,,,
BA,Dormitory,General,0.61,W/ft2,,,,,,,
BA,Exercise Center,General,0.65,W/ft2,,,,,,,
BA,Fire Station,General,0.53,W/ft2,,,,,,,
BA,Gymnasium,General,0.68,W/ft2,,,,,,,
BA,Health-care Clinic,General,0.82,W/ft2,,,,,,,
BA,Hospital,General,1.05,W/ft2,,,,,,,
BA,Hotel/motel,General,0.75,W/ft2,,,,,,,
BA,Library,General,0.78,W/ft2,,,,,,,
BA,Manufacturing Facility,General,0.9,W/ft2,,,,,,,
BA,Motion Picture Theater,General,0.83,W/ft2,,,,,,,
BA,Multifamily,General,0.68,W/ft2,,,,,,,
BA,Museum,General,1.06,W/ft2,,,,,,,
BA,Office,General,0.79,W/ft2,,,,,,,
BA,Parking Garage,General,0.15,W/ft2,,,,,,,
BA,Penitentiary,General,0.75,W/ft2,,,,,,,
BA,Performing Arts Theater,General,1.18,W/ft2,,,,,,,
BA,Police Station,General,0.8,W/ft2,,,,,,,
BA,Post Office,General,0.67,W/ft2,,,,,,,
BA,Religious Facility,General,0.94,W/ft2,,,,,,,
BA,Retail,General,1.06,W/ft2,,,,,,,
BA,School/University,General,0.81,W/ft2,,,,,,,
BA,Sports Arena,General,0.87,W/ft2,,,,,,,
BA,Town Hall,General,0.8,W/ft2,,,,,,,
BA,Transportation,General,0.61,W/ft2,,,,,,,
BA,Warehouse,General,0.48,W/ft2,,,,,,,
BA,Workshop,General,0.9,W/ft2,,,,,,,
CS,Atrium,<20 ft in height,0.03,W/ft,,REQ,REQ,,ADD2,ADD2,
CS,Storage Room,<50 Ft2,0.97,W/ft2,6,,,,ADD2,ADD2,
CS,Atrium,>40 ft in height,0.4,W/ft2,,REQ,REQ,,ADD2,ADD2,
CS,Atrium,gt 20 ft and lt 40 ft in height,0.03,W/ft,,REQ,REQ,,ADD2,ADD2,
CS,Storage Room,gt 50 Ft2 And lt 1000 Ft2,0.46,W/ft2,6,REQ,REQ,,REQ,,
CS,Audience Seating Area,All Other Audience Seating Areas,0.43,W/ft2,4,,REQ,REQ,,ADD2,ADD2
CS,Classroom/lecture Hall/training Room,All Other Classrooms/lecture Halls/training Rooms,0.92,W/ft2,4,REQ,REQ,,REQ,,
CS,Corridor,All Other Corridors,0.66,W/ft2,,REQ,REQ,REQ,ADD2,ADD2,rcr_threshold: width<8 ft
CS,Dining Area,All Other Dining Areas,0.63,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Laboratory,All Other Laboratories,1.45,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Lobby,All Other Lobbies,1,W/ft2,4,REQ,REQ,REQ,ADD2,ADD2,
CS,Lounge/Breakroom,All Other Lounges/breakrooms,0.62,W/ft2,4,REQ,REQ,,REQ,,
CS,Restroom,All Other Restrooms,0.85,W/ft2,8,REQ,REQ,,REQ,,
CS,Storage Room,All Other Storage Rooms,0.46,W/ft2,6,REQ,REQ,REQ,ADD2,ADD2,
CS,Audience Seating Area,Auditorium,0.63,W/ft2,6,,REQ,REQ,,ADD2,ADD2
CS,Dining Area,Bar/lounge Or Leisure Dining,0.93,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Dining Area,Cafeteria Or Fast Food Dining,0.63,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Lobby,Elevator,0.69,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Office,Enclosed And >250 Ft2,0.93,W/ft2,8,REQ,REQ,,ADD2,ADD2,
CS,Office,Enclosed And gt 250 Ft2,0.93,W/ft2,8,REQ,REQ,,REQ,,
CS,Dining Area,Facility For The Visually Impaired (and Not Used Primarily By Staff),2,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Corridor,Facility For The Visually Impaired (and Not Used Primarily By The Staff),0.92,W/ft2,,REQ,REQ,REQ,ADD2,ADD2,
CS,Lobby,Facility For The Visually Impaired (and Not Used Primarily By The Staff),2.03,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Restroom,Facility For The Visually Impaired (and Not Used Primarily By The Staff),0.96,W/ft2,8,REQ,REQ,,REQ,,
CS,Dining Area,Family Dining,0.71,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Audience Seating Area,Convention Center,0.82,W/ft2,4,,REQ,REQ,,ADD2,ADD2
CS,"Seating Area, General",General,0.42,W/ft2,4,,REQ,REQ,,ADD2,ADD2
CS,Audience Seating Area,Gymnasium,0.65,W/ft2,6,,REQ,REQ,,ADD2,ADD2
CS,Audience Seating Area,Motion Picture Theater,1.14,W/ft2,4,,REQ,REQ,,ADD2,ADD2
CS,Banking Activity Area,General,0.86,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Breakroom,General,0.62,W/ft2,4,REQ,REQ,REQ,,,
CS,Computer Room,General,1.33,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Conference/meeting/multipurpose Room,General,1.07,W/ft2,6,REQ,REQ,,REQ,,
CS,Confinement Cells,General,0.81,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Copy/Print Room,General,0.56,W/ft2,6,REQ,REQ,,REQ,,
CS,Courtroom,General,1.39,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Electrical/mechanical Room,General,0.43,W/ft2,6,REQ,REQ,,,,
CS,Emergency Vehicle Garage,General,0.41,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Food Preparation Area,General,1.06,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Guest Room,General,0.77,W/ft2,6,,,,,,See section 9.4.1.3(b)
CS,Laundry/washing Area,General,0.43,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,"Loading Dock, Interior",General,0.58,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Locker Room,General,0.48,W/ft2,6,REQ,REQ,,REQ,,
CS,"Parking Area, Interior",General,0.14,W/ft2,4,,,,,,See Section 9.4.1.2
CS,Pharmacy Area,General,1.34,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Sales Area,General,1.22,W/ft2,3,,REQ,,ADD2,ADD2,
CS,Stairway,General,0.58,W/ft2,10,REQ,REQ,REQ,ADD2,ADD2,
CS,Stairwell,General,0.58,W/ft2,10,REQ,REQ,REQ,ADD2,ADD2,
CS,Vehicular Maintenance Area,General,0.56,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Workshop,General,1.14,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Audience Seating Area,Penitentiary,0.28,W/ft2,4,,REQ,REQ,,ADD2,ADD2
