method,lighting_primary_space_type,lighting_secondary_space_type,lighting_power_density,unit,rcr_threshold,automatic_daylight_responsive_controls_for_sidelighting,automatic_daylight_responsive_controls_for_toplighting,automatic_partial_off,automatic_full_off,scheduled_shutoff,annotation
BA,Automotive Facility,General,0.8,W/ft2,,,,,,,
BA,Convention Center,General,1.01,W/ft2,,,,,,,
BA,Courthouse,General,1.01,W/ft2,,,,,,,
BA,Dining: Bar Lounge/leisure,General,1.01,W/ft2,,,,,,,
BA,Dining: Cafeteria/fast Food,General,0.9,W/ft2,,,,,,,
BA,Dining: Family,General,0.95,W/ft2,,,,,,,
BA,Dormitory,General,0.57,W/ft2,,,,,,,
BA,Exercise Center,General,0.84,W/ft2,,,,,,,
BA,Fire Station,General,0.671,W/ft2,,,,,,,
BA,Gymnasium,General,0.94,W/ft2,,,,,,,
BA,Health-care Clinic,General,0.9,W/ft2,,,,,,,
BA,Hospital,General,1.05,W/ft2,,,,,,,
BA,Hotel/motel,General,0.87,W/ft2,,,,,,,
BA,Library,General,1.19,W/ft2,,,,,,,
BA,Manufacturing Facility,General,1.17,W/ft2,,,,,,,
BA,Motion Picture Theater,General,0.76,W/ft2,,,,,,,
BA,Multifamily,General,0.51,W/ft2,,,,,,,
BA,Museum,General,1.02,W/ft2,,,,,,,
BA,Office,General,0.82,W/ft2,,,,,,,
BA,Parking Garage,General,0.21,W/ft2,,,,,,,
BA,Penitentiary,General,0.81,W/ft2,,,,,,,
BA,Performing Arts Theater,General,1.39,W/ft2,,,,,,,
BA,Police Station,General,0.87,W/ft2,,,,,,,
BA,Post Office,General,0.87,W/ft2,,,,,,,
BA,Religious Building,General,1,W/ft2,,,,,,,
BA,Retail,General,1.26,W/ft2,,,,,,,
BA,School/University,General,0.87,W/ft2,,,,,,,
BA,Sports Arena,General,0.91,W/ft2,,,,,,,
BA,Town Hall,General,0.89,W/ft2,,,,,,,
BA,Transportation,General,0.7,W/ft2,,,,,,,
BA,Warehouse,General,0.66,W/ft2,,,,,,,
BA,Workshop,General,1.19,W/ft2,,,,,,,
CS,Atrium,<20 ft in height,0.03,W/ft,,REQ,REQ,,ADD2,ADD2,LP-Height
CS,Storage Room,<50 ft2,1.24,W/ft2,6,,,,ADD2,ADD2,
CS,Atrium,>40 ft in height,0.4,W/ft2,,REQ,REQ,,ADD2,ADD2,LP-Height; + 0.02W/ft
CS,Atrium,gt 20 ft and  lt40 ft in height,0.03,W/ft,,REQ,REQ,,ADD2,ADD2,LP-Height
CS,Storage Room,gt 50 ft2 and lt 1000 ft2,0.63,W/ft2,6,REQ,REQ,,REQ,,
CS,Audience/seating Area,all other audience seating areas,0.43,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Classroom/Lecture Hall/Training Room,all other classrooms/lecture halls/training rooms,1.24,W/ft2,4,REQ,REQ,,REQ,,
