method,lighting_primary_space_type,lighting_secondary_space_type,lighting_power_density,unit,rcr_threshold,automatic_daylight_responsive_controls_for_sidelighting,automatic_daylight_responsive_controls_for_toplighting,automatic_partial_off,automatic_full_off,scheduled_shutoff,annotation
BA,Automotive Facility,General,0.82,W/ft2,,REQ,REQ,,,,
BA,Convention Center,General,1.08,W/ft2,,REQ,REQ,,,,
BA,Courthouse,General,1.05,W/ft2,,REQ,REQ,,,,
BA,Dining: Bar Lounge/Leisure,General,0.99,W/ft2,,REQ,REQ,,,,
BA,Dining: Cafeteria/Fast Food,General,0.9,W/ft2,,REQ,REQ,,,,
BA,Dining: Family,General,0.89,W/ft2,,REQ,REQ,,,,
BA,Dormitory,General,0.61,W/ft2,,REQ,REQ,,,,
BA,Exercise Center,General,0.88,W/ft2,,REQ,REQ,,,,
BA,Fire Stations,General,0.71,W/ft2,,REQ,REQ,,,,
BA,Gymnasium,General,1,W/ft2,,REQ,REQ,,,,
BA,Health-care Clinic,General,0.87,W/ft2,,REQ,REQ,,,,
BA,Hospital,General,1.21,W/ft2,,REQ,REQ,,REQ,,
BA,Hotel,General,1,W/ft2,,REQ,REQ,,,,
BA,Library,General,1.18,W/ft2,,REQ,REQ,,,,
BA,Manufacturing Facility,General,1.11,W/ft2,,REQ,REQ,,,,
BA,Motel,General,0.88,W/ft2,,REQ,REQ,,,,
BA,Motion Picture Theater,General,0.83,W/ft2,,REQ,REQ,,,,
BA,Multifamily,General,0.6,W/ft2,,REQ,REQ,,,,
BA,Museum,General,1.06,W/ft2,,REQ,REQ,,,,
BA,Office,General,0.9,W/ft2,,REQ,REQ,,,,
BA,Parking Garage,General,0.25,W/ft2,,REQ,REQ,,,,
BA,Penitentiary,General,0.97,W/ft2,,REQ,REQ,,,,
BA,Performing Arts Theater,General,1.39,W/ft2,,REQ,REQ,,,,
BA,Police Station,General,0.96,W/ft2,,REQ,REQ,,,,
BA,Post Office,General,0.87,W/ft2,,REQ,REQ,,,,
BA,Religious Building,General,1.05,W/ft2,,REQ,REQ,,,,
BA,Retail,General,1.4,W/ft2,,REQ,REQ,,,,
BA,School/University,General,0.99,W/ft2,,REQ,REQ,,,,
BA,Sports Arena,General,0.78,W/ft2,,REQ,REQ,,,,
BA,Town Hall,General,0.92,W/ft2,,REQ,REQ,,,,
BA,Transportation,General,0.77,W/ft2,,REQ,REQ,,,,
BA,Warehouse,General,0.66,W/ft2,,REQ,REQ,,,,
BA,Workshop,General,1.2,W/ft2,,REQ,REQ,,,,
CS,Audience/seating Area permanent,For auditorium,0.79,W/ft2,6,REQ,REQ,,,,
CS,Office,Enclosed,1.1,W/ft2,8,REQ,REQ,,REQ,,
CS,Atrium,First 40 ft in height,0.03,W/ft,,REQ,REQ,,,,
CS,Dining Area,For Bar Lounge/Leisure Dining,1.31,W/ft2,4,REQ,REQ,,,,
CS,Laboratory,For Classrooms,1.28,W/ft2,6,REQ,REQ,,,,
CS,Lobby,For Elevator,0.64,W/ft2,6,REQ,REQ,,,,
CS,Dining Area,For Family Dining,0.89,W/ft2,4,REQ,REQ,,,,
CS,Laboratory,For Medical/Industrial/Research,1.81,W/ft2,6,REQ,REQ,,,,
CS,Lobby,For Motion Picture Theater,0.52,W/ft2,4,REQ,REQ,,,,
CS,Lobby,For Performing Arts Theater,2,W/ft2,6,REQ,REQ,,,,
CS,Audience/seating Area permanent,For Motion Picture Theater,1.14,W/ft2,4,REQ,REQ,,,,
CS,Classroom/Lecture/Training,General,1.24,W/ft2,4,REQ,REQ,,REQ,,
CS,Conference/Meeting/Multipurpose,General,1.23,W/ft2,6,REQ,REQ,,REQ,,
CS,Corridor/Transition,General,0.66,W/ft2,,REQ,REQ,,,,rcr_threshold: width<8 ft
CS,Dining Area,General,0.65,W/ft2,4,REQ,REQ,,,,
CS,Dressing/Fitting Room For Performing Arts Theater,General,0.4,W/ft2,6,REQ,REQ,,,,
CS,Electrical/Mechanical,General,0.95,W/ft2,6,REQ,REQ,,,,
CS,Food Preparation,General,0.99,W/ft2,6,REQ,REQ,,,,
CS,Lobby,General,0.9,W/ft2,4,REQ,REQ,,,,
CS,Locker Room,General,0.75,W/ft2,6,REQ,REQ,,REQ,,
CS,Lounge/Recreation,General,0.73,W/ft2,4,REQ,REQ,,REQ,,
CS,Restrooms,General,0.98,W/ft2,8,REQ,REQ,,REQ,,
CS,Sales Area,General,1.68,W/ft2,6,REQ,REQ,,,,
CS,Stairway,General,0.69,W/ft2,10,REQ,REQ,REQ,,,
CS,Storage,General,0.63,W/ft2,6,REQ,REQ,,REQ,,
CS,Workshop,General,1.59,W/ft2,6,REQ,REQ,,,,
CS,Atrium,Height above 40 ft,0.02,W/ft,,REQ,REQ,,,,
CS,Audience/seating Area permanent,For Performing Arts Theater,2.43,W/ft2,8,REQ,REQ,,,,
CS,Office,Open Plan,0.98,W/ft2,4,REQ,REQ,,,,
SS,Transportation,Air/Train/Bus Baggage Area,0.76,W/ft2,4,REQ,REQ,,,,
SS,Transportation,Airport Concourse,0.36,W/ft2,4,REQ,REQ,,,,
SS,Convention Center,Audience Seating,0.82,W/ft2,4,REQ,REQ,,,,
SS,Religious Buildings,Audience Seating,1.53,W/ft2,4,REQ,REQ,,,,
SS,Sports Arena,Audience Seating,0.43,W/ft2,4,REQ,REQ,,,,
SS,Transportation,Audience Seating,0.54,W/ft2,4,REQ,REQ,,,,
SS,Bank/Office,Banking Activity Area,1.38,W/ft2,6,REQ,REQ,,,,
SS,Library,Card File and Cataloging,0.72,W/ft2,4,REQ,REQ,,,,
SS,Courthouse/Police Station/Penitentiary,Confinement Cells,1.1,W/ft2,6,REQ,REQ,,,,
SS,Hospital,Corridor/Transition,0.89,W/ft2,,REQ,REQ,,,,rcr_threshold: width<8 ft
SS,Manufacturing,Corridor/Transition,0.41,W/ft2,,REQ,REQ,,,,rcr_threshold: width<8 ft
SS,Sports Arena,Court Sports Arena Class 1,3.01,W/ft2,4,REQ,REQ,,,,
SS,Sports Arena,Court Sports Arena Class 2,1.92,W/ft2,4,REQ,REQ,,,,
SS,Sports Arena,Court Sports Arena Class 3,1.2,W/ft2,4,REQ,REQ,,,,
SS,Sports Arena,Court Sports Arena Class 4,0.72,W/ft2,4,REQ,REQ,,,,
SS,Courthouse/Police Station/Penitentiary,Courtroom,1.72,W/ft2,6,REQ,REQ,,,,
SS,Manufacturing,Detailed Manufacturing,1.29,W/ft2,4,REQ,REQ,,,,
SS,Retail,Dressing/Fitting Room,0.87,W/ft2,8,REQ,REQ,,,,
SS,Hospital,Emergency,2.26,W/ft2,6,REQ,REQ,,,,
SS,Fire Stations,Engine Room,0.56,W/ft2,4,REQ,REQ,,,,
SS,Manufacturing,Equipment Room,0.95,W/ft2,6,REQ,REQ,,,,
SS,Hospital,Exam/Treatment,1.66,W/ft2,8,REQ,REQ,,,,
SS,Gymnasium/fitness Center,Exercise Area,0.72,W/ft2,4,REQ,REQ,,,,
SS,Convention Center,Exhibit Space,1.45,W/ft2,4,REQ,REQ,,,,
SS,Manufacturing,Extra High Bay (>50 ft Floor to Ceiling Height),1.05,W/ft2,4,REQ,REQ,,,,
SS,Religious Buildings,Fellowship Hall,0.64,W/ft2,4,REQ,REQ,,,,
SS,Warehouse,Fine Material Storage,0.95,W/ft2,6,REQ,REQ,,,,
SS,Parking Garage,Garage Area,0.19,W/ft2,4,REQ,REQ,,,,
SS,Post Office Sorting Area,General,0.94,W/ft2,4,REQ,REQ,,,,
SS,Museum,General Exhibition,1.05,W/ft2,6,REQ,REQ,,,,
SS,Gymnasium/fitness Center,Gymnasium Audience Seating,0.43,W/ft2,6,REQ,REQ,,,,
SS,Manufacturing,High Bay (25-50 ft Floor to Ceiling Height),1.23,W/ft2,4,REQ,REQ,,,,
SS,Hotel/Highway Lodging,Highway Lodging Dining,0.88,W/ft2,4,REQ,REQ,,,,
SS,Hotel/Highway Lodging,Highway Lodging Guest Rooms,0.75,W/ft2,6,REQ,REQ,,,,
SS,Hotel/Highway Lodging,Hotel Dining,0.82,W/ft2,4,REQ,REQ,,,,
SS,Hotel/Highway Lodging,Hotel Guest Rooms,1.11,W/ft2,6,REQ,REQ,,,,
SS,Hotel/Highway Lodging,Hotel Lobby,1.06,W/ft2,4,REQ,REQ,,,,
SS,Courthouse/Police Station/Penitentiary,Judges' Chambers,1.17,W/ft2,8,REQ,REQ,,,,
SS,Hospital,Laundry/Washing,0.6,W/ft2,4,REQ,REQ,,,,
SS,Dormitory,Living Quarters,0.38,W/ft2,8,REQ,REQ,,,,
SS,Hospital,Lounge/Recreation,1.07,W/ft2,6,REQ,REQ,,REQ,,
SS,Manufacturing,Low Bay (<25 ft Floor to Ceiling Height),1.19,W/ft2,4,REQ,REQ,,,,
SS,Retail,Mall Concourse,1.1,W/ft2,4,REQ,REQ,,,,
SS,Hospital,Medical Supply,1.27,W/ft2,6,REQ,REQ,,REQ,,
SS,Warehouse,Medium/Bulky Material Storage,0.58,W/ft2,4,REQ,REQ,,,,
SS,Hospital,Nursery,0.88,W/ft2,6,REQ,REQ,,,,
SS,Hospital,Nurses' Station,0.87,W/ft2,6,REQ,REQ,,,,
SS,Hospital,Operating Room,1.89,W/ft2,6,REQ,REQ,,,,
SS,Hospital,Patient Room,0.62,W/ft2,6,REQ,REQ,,,,
SS,Courthouse/Police Station/Penitentiary,Penitentiary Audience Seating,0.43,W/ft2,4,REQ,REQ,,,,
SS,Courthouse/Police Station/Penitentiary,Penitentiary Classroom,1.34,W/ft2,4,REQ,REQ,,REQ,,
SS,Courthouse/Police Station/Penitentiary,Penitentiary Dining,1.07,W/ft2,6,REQ,REQ,,,,
SS,Hospital,Pharmacy,1.14,W/ft2,6,REQ,REQ,,,,
SS,Hospital,Physical Therapy,0.91,W/ft2,6,REQ,REQ,,,,
SS,Gymnasium/fitness Center,Playing Area,1.2,W/ft2,4,REQ,REQ,,,,
SS,Hospital,Radiology/Imaging,1.32,W/ft2,6,REQ,REQ,,,,
SS,Library,Reading Area,0.93,W/ft2,4,REQ,REQ,,,,
SS,Hospital,Recovery,1.15,W/ft2,6,REQ,REQ,,,,
SS,Museum,Restoration,1.02,W/ft2,6,REQ,REQ,,,,
SS,Sports Arena,Ring Sports Area,2.68,W/ft2,4,REQ,REQ,,,,
SS,Retail,Sales Additional (Type 1),0.6,W/ft2,6,,REQ,,,,
SS,Retail,Sales Additional (Type 2),0.6,W/ft2,6,,REQ,,,,
SS,Retail,Sales Additional (Type 3),1.4,W/ft2,6,,REQ,,,,
SS,Retail,Sales Additional (Type 4),2.5,W/ft2,6,,REQ,,,,
SS,Retail,Sales Area,1.68,W/ft2,6,,REQ,,,,
SS,Automotive,Service/Repair,0.67,W/ft2,4,REQ,REQ,,,,
SS,Fire Stations,Sleeping Quarters,0.25,W/ft2,6,REQ,REQ,,,,
SS,Library,Stacks,1.71,W/ft2,4,REQ,REQ,,,,
SS,Transportation,Terminal Ticket Counter,1.08,W/ft2,4,REQ,REQ,,,,
SS,Religious Buildings,"Worship Pulpit, Choir",1.53,W/ft2,4,REQ,REQ,,,,
SS,None,None,0,W/ft2,,,,,,,
