method,lighting_primary_space_type,lighting_per_area,lighting_secondary_space_type,lighting_per_area_unit,annotation
BA,Automotive facility,0.75,General,W/ft2,
BA,Convention center,0.64,General,W/ft2,
BA,Courthouse,0.79,General,W/ft2,
BA,Dining: Bar lounge/leisure,0.8,General,W/ft2,
BA,Dining: Cafeteria/fast food,0.76,General,W/ft2,
BA,Dining: Family,0.71,General,W/ft2,
BA,Dormitory,0.53,General,W/ft2,
BA,Exercise center,0.72,General,W/ft2,
BA,Fire station,0.56,General,W/ft2,
BA,Gymnasium,0.76,General,W/ft2,
BA,Health-care clinic,0.81,General,W/ft2,
BA,Hospital,0.96,General,W/ft2,
BA,Hotel/motel,0.56,General,W/ft2,
BA,Library,0.83,General,W/ft2,
BA,Manufacturing facility,0.82,General,W/ft2,
BA,Motion picture theater,0.44,General,W/ft2,
BA,Multifamily,0.45,General,W/ft2,
BA,Museum,0.55,General,W/ft2,
BA,Office,0.64,General,W/ft2,
BA,Parking garage,0.18,General,W/ft2,
BA,Penitentiary,0.69,General,W/ft2,
BA,Performing arts theater,0.84,General,W/ft2,
BA,Police station,0.66,General,W/ft2,
BA,Post office,0.65,General,W/ft2,
BA,Religious facility,0.67,General,W/ft2,
BA,Retail,0.84,General,W/ft2,
BA,School/university,0.72,General,W/ft2,
BA,Sports arena,0.76,General,W/ft2,
BA,Town hall,0.69,General,W/ft2,
BA,Transportation,0.5,General,W/ft2,
BA,Warehouse,0.45,General,W/ft2,
BA,Workshop,0.91,General,W/ft2,
CS,Atrium,0.39,< 20 ft in height,W/ft2,
CS,Atrium,0.48,>= 20 ft and <= 40 ft in height,W/ft2,
CS,Atrium,0.6,> 40 ft in height,W/ft2,
CS,Audience Seating Area,0.61,Auditorium,W/ft2,
CS,Audience Seating Area,0.23,Gymnasium,W/ft2,
CS,Audience Seating Area,0.27,Motion picture theater,W/ft2,
CS,Audience Seating Area,0.67,Penitentiary,W/ft2,
CS,Audience Seating Area,1.16,Performing arts theater,W/ft2,
CS,Audience Seating Area,0.72,Religious facility,W/ft2,
CS,Audience Seating Area,0.33,Sports arena,W/ft2,
CS,Audience Seating Area,0.23,All other audience seating areas,W/ft2,
CS,Banking Activity Area,0.61,General,W/ft2,
CS,Breakroom,0.59,General,W/ft2,(See Lounge/Breakroom)
CS,Classroom/Lecture Hall/Training Room,0.89,Penitentiary,W/ft2,
CS,Classroom/Lecture Hall/Training Room,0.71,All other classrooms/lecture halls/training rooms,W/ft2,
CS,Conference/Meeting/Multipurpose Room,0.97,General,W/ft2,
CS,Confinement Cells,0.7,General,W/ft2,
CS,Copy/Print Room,0.31,General,W/ft2,
CS,Corridor,0.71,Facility for the visually impaired (and not used primarily by the staff),W/ft2,
CS,Corridor,0.71,Hospital,W/ft2,
CS,Corridor,0.41,All other corridors,W/ft2,
CS,Courtroom,1.2,General,W/ft2,
CS,Computer Room,0.94,General,W/ft2,
CS,Dining Area,0.42,Penitentiary,W/ft2,
CS,Dining Area,1.27,Facility for the visually impaired (and not used primarily by staff),W/ft2,
CS,Dining Area,0.86,Bar/lounge or leisure dining,W/ft2,
CS,Dining Area,0.4,Cafeteria or fast food dining,W/ft2,
CS,Dining Area,0.6,Family dining,W/ft2,
CS,Dining Area,0.43,All other dining areas,W/ft2,
CS,Electrical/Mechanical Room,0.43,General,W/ft2,
CS,Emergency Vehicle Garage,0.52,General,W/ft2,
CS,Food Preparation Area,1.09,General,W/ft2,
CS,Guest Room,0.41,General,W/ft2,
CS,Laboratory,1.11,In or as a classroom,W/ft2,
CS,Laboratory,1.33,All other laboratories,W/ft2,
CS,Laundry/Washing Area,0.53,General,W/ft2,
CS,"Loading Dock, Interior",0.88,General,W/ft2,
CS,Lobby,1.69,Facility for the visually impaired (and not used primarily by the staff),W/ft2,
CS,Lobby,0.65,Elevator,W/ft2,
CS,Lobby,0.51,Hotel,W/ft2,
CS,Lobby,0.23,Motion picture theater,W/ft2,
CS,Lobby,1.25,Performing arts theater ,W/ft2,
CS,Lobby,0.84,All other lobbies,W/ft2,
CS,Locker Room,0.52,General,W/ft2,
CS,Lounge/Breakroom,0.42,Healthcare facility,W/ft2,
CS,Lounge/Breakroom,0.59,All other lounges/breakrooms,W/ft2,
CS,Office,0.74,Enclosed and <= 250 ft2,W/ft2,
CS,Office,0.66,Enclosed and > 250 ft2,W/ft2,
CS,Office,0.61,Open plan,W/ft2,
CS,"Parking Area, Interior",0.15,General,W/ft2,
CS,Pharmacy Area,1.66,General,W/ft2,
CS,Restroom,1.26,Facility for the visually impaired (and not used primarily by the staff),W/ft2,
