method,lighting_primary_space_type,lighting_secondary_space_type,lighting_power_density,unit,rcr_threshold,automatic_daylight_responsive_controls_for_sidelighting,automatic_daylight_responsive_controls_for_toplighting,automatic_partial_off,automatic_full_off,scheduled_shutoff,annotation
BA,Automotive Facility,General,0.9,W/ft2,,,,,,,
BA,Convention Center,General,1.2,W/ft2,,,,,,,
BA,Courthouse,General,1.2,W/ft2,,,,,,,
BA,Dining: Bar Lounge/leisure,General,1.3,W/ft2,,,,,,,
BA,Dining: Cafeteria/fast Food,General,1.4,W/ft2,,,,,,,
BA,Dining: Family,General,1.6,W/ft2,,,,,,,
BA,Dormitory,General,1,W/ft2,,,,,,,
BA,Exercise Center,General,1,W/ft2,,,,,,,
BA,Gymnasium,General,1.1,W/ft2,,,,,,,
BA,Health-care Clinic,General,1,W/ft2,,,,,,,
BA,Hospital,General,1.2,W/ft2,,,,,,,
BA,Hotel,General,1,W/ft2,,,,,,,
BA,Library,General,1.3,W/ft2,,,,,,,
BA,Manufacturing Facility,General,1.3,W/ft2,,,,,,,
BA,Motel,General,1,W/ft2,,,,,,,
BA,Motion Picture Theater,General,1.2,W/ft2,,,,,,,
BA,Multifamily,General,0.7,W/ft2,,,,,,,
BA,Museum,General,1.1,W/ft2,,,,,,,
BA,Office,General,1,W/ft2,,,,,,,
BA,Parking Garage,General,0.3,W/ft2,,,,,,,
BA,Penitentiary,General,1,W/ft2,,,,,,,
BA,Performing Arts Theater,General,1.6,W/ft2,,,,,,,
BA,Police/fire Station,General,1,W/ft2,,,,,,,
BA,Post Office,General,1.1,W/ft2,,,,,,,
BA,Religious Building,General,1.3,W/ft2,,,,,,,
BA,Retail,General,1.5,W/ft2,,,,,,,
BA,School/University,General,1.2,W/ft2,,,,,,,
BA,Sports Arena,General,1.1,W/ft2,,,,,,,
BA,Town Hall,General,1.1,W/ft2,,,,,,,
BA,Transportation,General,1,W/ft2,,,,,,,
BA,Warehouse,General,0.8,W/ft2,,,,,,,
BA,Workshop,General,1.4,W/ft2,,,,,,,
CS,Dining Area,For Bar Lounge/Leisure Dining,1.4,W/ft2,,,,,,,
CS,Audience/seating Area,For Convention Center,0.7,W/ft2,,,,,,,
CS,Dining Area,For Family Dining,2.1,W/ft2,,,,,,,
CS,Audience/seating Area,For Exercise Center,0.3,W/ft2,,,,,,,
CS,Active Storage,For Hospital,0.9,W/ft2,,,,,,,
CS,Corridor/transition,For Hospital,1,W/ft2,,,,,,,
CS,Lounge/Recreation,For Hospital,0.8,W/ft2,,,,,REQ,,
CS,Dining Area,For Hotel,1.3,W/ft2,,,,,,,
CS,Lobby,For Hotel,1.1,W/ft2,,,,,,,
CS,Corridor/transition,For Manufacturing Facility,0.5,W/ft2,,,,,,,
CS,Dining Area,For Motel,1.2,W/ft2,,,,,,,
CS,Audience/seating Area,General,0.9,W/ft2,,,,,,,
CS,Lobby,For Motion Picture Theater,1.1,W/ft2,,,,,,,
