lighting_space_type_name,lighting_space_type_target_illuminance_setpoint,lighting_space_type_target_illuminance_units,general_lighting_fraction,general_lighting_coefficient_of_utilization,task_lighting_fraction,task_lighting_coefficient_of_utilization,supplemental_lighting_fraction,supplemental_lighting_coefficient_of_utilization,wall_wash_lighting_fraction,wall_wash_lighting_coefficient_of_utilization,source,notes
airport_concourse_lighting,118,Lux,0.5,0.92,0.3,0.79,0,0,0.2,0.75,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
atrium_lighting,178,Lux,1,0.82,0,0,0,0,0,0.58,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",less than 20ft
audience_seating_area_for_gymnasium_lighting,118,Lux,1,0.59,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
audience_seating_area_for_motion_picture_theater_lighting,118,Lux,1,0.91,0,0,0,0.11,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
audience_seating_area_for_penitentiary_lighting,355,Lux,1,0.91,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
audience_seating_area_for_performing_arts_theater_lighting,426,Lux,0.791666667,0.69,0,0,0,0,0.208333333,0.58,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
audience_seating_area_for_religious_buildings_lighting,118,Lux,0.625,0.97,0.166666667,0.4,0,0,0.208333333,0.45,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
audience_seating_area_for_sports_arena_lighting,118,Lux,0.5,0.46,0.5,0.97,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
audience_seating_lighting,118,Lux,1,1.02,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",all other
automotive_general_lighting,355,Lux,0.833333333,0.7,0.166666667,0.56,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
baggage_carousel_lighting,237,Lux,0.45,0.92,0.3,0.76,0,0,0.25,0.87,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
banking_lighting,355,Lux,0.857142857,0.71,0,0,0,0,0.142857143,0.73,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
classroom_lecture_training_for_penitentiary_lighting,471,Lux,1,0.82,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",changed general fraction to 1 and supplemental fraction to 0
classroom_lecture_training_lighting,471,Lux,1,0.8,0,0.92,0,0,0,0.83,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",changed general fraction to 1.0
computer_room_lighting,710,Lux,1,0.92,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
conference_meeting_multipurpose_lighting,355,Lux,0.85,0.59,0.075,0.89,0,0,0.075,0.69,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","changed general fraction to 0.85, task and wall wash to 0.075"
confinement_cells_lighting,296,Lux,0.909090909,0.73,0.090909091,0.68,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
convention_center_exhibit_space_general_lighting,431,Lux,1,0.81,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
copy_print_lighting,178,Lux,1,0.74,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
corridor_lighting,178,Lux,1,0.64,0,0,0,0,0,0.6,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",changed general fraction to 1.0
corridor_transition_for_hospital_lighting,355,Lux,0.9,0.71,0,0,0,0,0.1,0.83,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","changed general fraction to 0.9, wall wash to 0.1"
courtroom_lighting,474,Lux,0.4,0.51,0.5,0.84,0,0,0.1,0.83,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
datacenterhighite_lighting,118,Lux,1,0.92,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","computer room, need a better match"
datacenterlowite_lighting,118,Lux,1,0.92,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","computer room, need a better match"
dining_area_for_family_dining_lighting,237,Lux,0.695652174,0.92,0.086956522,0.45,0,0,0.217391304,0.9,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
dining_area_for_penitentiary_lighting,178,Lux,1,0.73,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
dining_bar_lounge_leisure_general_lighting,118,Lux,0.594059406,1,0.247524752,0.45,0.158415842,0.9,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
dining_cafeteria_fast_food_general_lighting,237,Lux,0.85,0.79,0.05,0.92,0,0,0.1,0.83,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","changed general fraction to 0.85, task to 0.05, wall wash to 0.1"
dining_lighting,308,Lux,0.85,0.79,0.05,0.92,0,0,0.1,0.83,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","changed general fraction to 0.85, task to 0.05, wall wash to 0.1"
dressing_room_lighting,237,Lux,0.434782609,0.6,0.565217391,0.6,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",retail
electrical_mechanical_lighting,118,Lux,0.9,0.49,0.1,0.38,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","changed general fraction to 0.9, task fraction to 0.1"
emergency_room_lighting,888,Lux,0.9,0.7,0.1,374,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","changed general fraction to 0.9, task fraction to 0.1"
emergency_vehicle_garage_lighting,355,Lux,1,0.79,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
exam_treatment_lighting,592,Lux,1,0.58,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
exercise_area_lighting,474,Lux,1,0.59,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
exhibit_lighting,431,Lux,1,0.89,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
food_preparation_lighting,538,Lux,0.816326531,0.65,0.183673469,0.65,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
guest_room_lighting,178,Lux,0,0.64,1,0.83,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",adjusted general fraction to force A19-style use
imaging_lighting,355,Lux,1,0.74,0,0.73,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
interior_parking_lighting,54,Lux,1,0.67,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
judges_chambers_lighting,355,Lux,0.857142857,0.57,0,0,0,0,0.142857143,0.72,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
laboratory_lighting,592,Lux,0.79338843,0.59,0.20661157,0.77,0,0,0,0.64,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
laundry_washing_lighting,355,Lux,1,0.81,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
library_lighting,118,Lux,0.909090909,0.79,0.090909091,0.65,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
library_reading_area_lighting,592,Lux,0.681818182,0.76,0.318181818,0.97,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
library_stacks_lighting,355,Lux,0.384615385,0.68,0.615384615,0.82,0,0,0,0.66,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
living_quarters_lighting,178,Lux,0.85,0.52,0.15,0.38,0,0.33,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
loading_dock_lighting,355,Lux,1,0.46,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
lobby_for_hotel_lighting,178,Lux,0.666666667,0.93,0,0,0,0.96,0.333333333,0.91,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
lobby_for_motion_picture_theater_lighting,118,Lux,1,0.92,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
lobby_for_performing_arts_theater_lighting,296,Lux,0.863013699,0.72,0,0,0.136986301,0.29,0,0.76,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
lobby_lighting,296,Lux,0.689655172,0.45,0.137931034,0.92,0,0,0.172413793,0.75,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",lobby all other
locker_room_lighting,237,Lux,0.875,0.65,0.125,0.77,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
lounge_breakroom_lighting,178,Lux,0.9,0.92,0,0,0,0,0.1,0.82,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","all other, changed general fraction to 0.9, wall wash to 0.1"
lounge_recreation_for_hospital_lighting,296,Lux,0.9,0.77,0,0.77,0,0,0.1,0.64,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","changed general fraction to 0.9, task fraction to 0, wall wash to 0.1"
manufacturing_facility_detailed_manufacturing_area_lighting,592,Lux,1,0.94,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
manufacturing_facility_equipment_room_lighting,237,Lux,0.769230769,0.49,0.230769231,0.38,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
manufacturing_facility_high_bay_area_25_to_50_ft_ftc_hgt_lighting,592,Lux,1,0.54,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
manufacturing_facility_low_bay_area_lt_25_ft_ftc_hgt_lighting,592,Lux,1,0.79,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
manufacturing_lighting,592,Lux,1,0.79,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",same as low bay
medical_supply_lighting,355,Lux,1,0.74,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
multifamily_lighting,178,Lux,0.85,0.52,0.15,0.38,0,0.33,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",living quarters
museum_restoration_room_lighting,592,Lux,0.727272727,0.7,0.272727273,0.74,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
none_lighting,0,Lux,1,1,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
nursery_lighting,355,Lux,1,0.59,0,0.84,0,0,0,0.73,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
nurses_station_lighting,355,Lux,0.8,0.59,0.2,0.58,0,0,0,0.73,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","changed general fraction to 0.8, task fraction to 0.2"
office-enclosed_general_lighting,355,Lux,1,0.62,0,0.52,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","enclosed, greater than 250ft2"
office_enclosed_lighting,355,Lux,1,0.5597,0,0.47,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","enclosed, less than 250ft"
office_lighting,414,Lux,0.88,0.76,0,0.74,0,0,0.12,0.91,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",open plan lighting
