material_id,Material,description,Size,Fuel,source,type,id,unit,province_state,city,year,material_cost,labour_cost,equipment_cost,material_op_factor,labour_op_factor,equipment_op_factor,comments,material_mult,labour_mult
1,GasLine,"Gas Line tubing with lightning protection 3/4""",0.75,,rs-means,Unit,170391,L.F.,,,,,,,,,,,1,1
2,GasLine,"Gas line fitting connection, flexible manifold with 4 ports (3/4 "" x 1/2"" x 1/2"" (4))",4,,rs-means,Unit,170392,each,,,,,,,,,,,1,1
3,OilLine,"Oil line with lightning protection 1""",1,,rs-means,Unit,170391,L.F.,,,,,,,,,,,1,1
4,OilLine,Oil filter 32 gph,32,,rs-means,Unit,170393,each,,,,,,,,,,,1,1
5,OilTanks,"Double steel wall above ground storage tank includig cradles, 2000 gallon (US) capacity",2000,,rs-means,Unit,170394,each,,,,,,,,,,,1,1
6,OilTanks,"Underground storage tank, steel, sti-P3, set in place, single wall, 1,000 gal cap, 7 ga. shell, excl. hold-down bars, excavation, pad pumps & piping",1000,,rs-means,Unit,170395,each,,,,,,,,,,,1,1
7,OilTanks,"Storage tank, horizontal, steel, above ground, single wall, 550 gallon, incl. cradles, coating & fittings, excl. foundation, pumps or piping",550,,rs-means,Unit,170396,each,,,,,,,,,,,1,1
8,OilTanks,Oil pump and motor 27 gph 1/3,27,,rs-means,Unit,170397,each,,,,,,,,,,,1,1
9,Valves,"Valves, brass, gas cocks, threaded, 3/4""",0.75,,rs-means,Unit,170398,each,,,,,,,,,,,1,1
10,ValvesGate,"Valves, bronze, gate, non-rising stem, soldered, 125 psi, 1-1/4""",1.25,,rs-means,Unit,170399,each,,,,,,,,,,,1,1
11,ValvesGate,"Valves, bronze, gate, non-rising stem, soldered, 125 psi, 1-1/2""",1.5,,rs-means,Unit,170400,each,,,,,,,,,,,1,1
12,ValvesGate,"Valves, bronze, gate, non-rising stem, threaded, class 150, 3/4""",0.75,,rs-means,Unit,170401,each,,,,,,,,,,,1,1
13,ValvesGate,"Valves, bronze, gate, non-rising stem, threaded, class 150, 1""",1,,rs-means,Unit,170402,each,,,,,,,,,,,1,1
14,ValvesGate,"Valves, bronze, gate, non-rising stem, threaded, class 150, 1-1/4""",1.25,,rs-means,Unit,170403,each,,,,,,,,,,,1,1
15,ValvesGate,"Valves, bronze, gate, non-rising stem, threaded, class 150, 2""",2,,rs-means,Unit,170404,each,,,,,,,,,,,1,1
16,ValvesPressure,"Valves, bronze, relief, pressure & temperature, self-closing, threaded, 3/4"", ASME",0.75,,rs-means,Unit,170405,each,,,,,,,,,,,1,1
17,ValvesBFly,"Valves, iron body, butterfly, wafer type, lever actuator, 200 lb., 2""",2,,rs-means,Unit,170406,each,,,,,,,,,,,1,1
18,ValvesBFly,"Valves, iron body, butterfly, wafer type, lever actuator, 200 lb., 2-1/2""",2.5,,rs-means,Unit,170407,each,,,,,,,,,,,1,1
19,ValvesBFly,"Valves, iron body, butterfly, wafer type, lever actuator, 200 lb., 4""",4,,rs-means,Unit,170408,each,,,,,,,,,,,1,1
20,ValvesBig,"Valves, iron body, gate, non-rising stem, flanged, 125 lb., 2""",2,,rs-means,Unit,170409,each,,,,,,,,,,,1,1
21,ValvesBig,"Valves, iron body, gate, non-rising stem, flanged, 125 lb., 2-1/2""",2.5,,rs-means,Unit,170410,each,,,,,,,,,,,1,1
22,ValvesBig,"Valves, iron body, gate, non-rising stem, flanged, 125 lb., 4""",4,,rs-means,Unit,170411,each,,,,,,,,,,,1,1
23,ValvesBig,"Valves, cast iron body, multipurpose, functions as a shut off, balancing, check and metering valve, threaded, 2"" size",,,rs-means,Unit,170412,each,,,,,,,,,,,1,1
24,PipeInsulationsilica,"Insulation, pipe covering (price copper tube one size less than I.P.S.), calcium silicate, 1"" wall, 1"" iron pipe size, includes 8 oz. canvas cover",1,,rs-means,Unit,170413,L.F.,,,,,,,,,,,1,1
25,PipeInsulationsilica,"Insulation, pipe covering (price copper tube one size less than I.P.S.), calcium silicate, 1"" wall, 1-1/4"" iron pipe size, includes 8 oz. canvas cover",1.25,,rs-means,Unit,170414,L.F.,,,,,,,,,,,1,1
26,PipeInsulationsilica,"Insulation, pipe covering (price copper tube one size less than I.P.S.), calcium silicate, 1"" wall, 1-1/2"" iron pipe size, includes 8 oz. canvas cover",1.6,,rs-means,Unit,170415,L.F.,,,,,,,,,,,1,1
