lighting_type_id,description,source,type,id,unit
1,0.5 metal conduit straps,rs-means,Unit,180135,Ea
2,"Rooftop channel support 1-5/8"" x 1-5/8"" 12gauge galvenized",rs-means,Unit,180136,Ea
3,"PVC Wiring duct snap-in slots 2"" x 1"" ",rs-means,Unit,180137,LF
4,Fixture Hanger 0.75 in diameter 6 ft long,rs-means,Unit,180138,Ea
10,Wire 600V #14 Stranded THWN-THHN,rs-means,Unit,180139,CLF
11,Wire 600V #12 in raceway,rs-means,Unit,180140,CLF
12,Wire 600V #10 in raceway,rs-means,Unit,180141,CLF
13,"Metal conduit. 0.5 in diamater, 11 coupling per 100 LF",rs-means,Unit,180142,LF
14,"Steel Outlet boxes, set flush in concrete 4 "" deep",rs-means,Unit,180143,Ea
15,"Steel Outlet boxes, on framing",rs-means,Unit,180144,Ea
16,"Steel Pull box NEMA 1 12"" x 12"" x4"" Type D",rs-means,Unit,180145,Ea
17,"1"" diameter Electrical non-metallic conduit (PVC conduit)",rs-means,Unit,180146,LF
20,"Surface Ceiling Mount Fixtures:  grid suspension, 2x4 fixtures, T8, 32 watt lamps, acrylic prismatic diffusers",rs-means,Unit,180147,Ea
21,"Surface Mount Strip Fixtures:  grid suspension, 2-T8, 32 watt 4 ft. lamps, rapid start, acrylic prismatic diffusers",rs-means,Unit,180147,Ea
22,"High-bay Pendant Mount, 6-32W T8 2' x 4' fixtures, includes hardware",rs-means,Unit,180148,Ea
23,"High-bay Strip Mount Industrial type 2-32W T8 4' long fixtures, includes hardware",rs-means,Unit,180148,Ea
26,"Recessed Ceiling Mount Fixtures:  grid suspension, 2x4 fixtures, T8, 32 watt lamps, acrylic prismatic diffusers",rs-means,Unit,180149,Ea
27,"Pendant Mount, 4-54W T5HO 16"" x 4' fixtures, includes hardware",rs-means,Unit,180150,Ea
28,"Fluorescent fixture, interior, acrylic lens, grid recess ceiling mounted, 2-32 W T8, 1' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180151,Ea
29,"Fluorescent fixture, interior, acrylic lens, grid recess ceiling mounted, 2-U32 W T8, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,180152,Ea
30,"Fluorescent fixture, interior, acrylic lens, grid recess ceiling mounted, 2-32 W T8, 2' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180153,Ea
31,"Fluorescent fixture, interior, acrylic lens, grid recess ceiling mounted, 3-32 W T8, 2' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180154,Ea
32,"Fluorescent fixture, interior, acrylic lens, grid recess ceiling mounted, 4-32 W T8, 2' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180149,Ea
33,"Fluorescent fixture, interior, strip, surface mounted, RS, 2-32 W T8, 4' long, incl lamps, mounting hardware and connections",rs-means,Unit,180155,Ea
34,"Fluorescent fixture, interior, strip, surface mounted, S.L., 1-60 W T8, 8' long, incl lamps, mounting hardware and connections",rs-means,Unit,180156,Ea
35,"Fluorescent fixture, interior, strip, surface mounted, S.L., 2-T8/60 W, 8' long, incl lamps, mounting hardware and connections",rs-means,Unit,180157,Ea
36,"Fluorescent fixture, interior, strip, surface mounted, H.O., 2-54 W, T5HO, 4' long, incl lamps, mounting hardware and connections",rs-means,Unit,180158,Ea
37,"Fluorescent fixture, interior, strip, staggered cove mounted, 1-32 W T8, 4' long, incl lamps, mounting hardware and connections",rs-means,Unit,180159,Ea
38,"Fluorescent fixture, interior, high bay pendent mounted, 4-54 W, T5HO, 16"" W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180150,Ea
39,"Fluorescent fixture, interior, high bay pendent mounted, 6-54 W, T5HO, 2' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180160,Ea
40,"Fluorescent fixture, interior, high bay pendent mounted, 6-32 W, T8, 2' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180148,Ea
41,"Fluorescent fixture, interior, strip, pendent mounted, industrial, white porcelain enamel, R.S., 2-32 W T8, 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180161,Ea
42,"Fluorescent fixture, interior, strip, pendent mounted, industrial, white porcelain enamel, S.L., 2-60 W T8, 8' L, incl lamps, mounting hardware and connections",rs-means,Unit,180162,Ea
43,"Fluorescent fixture, interior, troffer, air handling, R.S., 4-32 W T8, 2' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180163,Ea
44,"Fluorescent fixture, interior, troffer, air handling, R.S., 2-U32 W T8, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,180164,Ea
45,"Fluorescent fixture, interior, troffer, direct/indirect, 2-32 W T8, 2' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180165,Ea
46,"Fluorescent fixture, interior, troffer parabolic lay-in, 1-32 W T8, 1' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180166,Ea
47,"Fluorescent fixture, interior, troffer parabolic lay-in, 2-32 W T8, 1' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180167,Ea
48,"Fluorescent fixture, interior, troffer parabolic lay-in, 2-U32 W T8, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,180168,Ea
49,"Fluorescent fixture, interior, troffer parabolic lay-in, 3-32 W T8, 2' W x 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180169,Ea
50,"Fluorescent fixture, interior, downlight, recess mounted, incl lamps, mounting hardware and connections",rs-means,Unit,180170,Ea
51,"Fluorescent fixture, interior, wall washer, recess mounted, incl lamps, mounting hardware and connections",rs-means,Unit,180171,Ea
52,"Fluorescent fixture, interior, direct/indirect, steel, pendent mounted, 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180172,Ea
53,"Fluorescent fixture, interior, direct/indirect, aluminum, pendent mounted, 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180173,Ea
54,"Fluorescent fixture, interior, prefabricated cove, steel continuous row, 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180174,Ea
55,"Fluorescent fixture, interior, prefabricated cove, aluminum continuous row, 4' L, incl lamps, mounting hardware and connections",rs-means,Unit,180175,Ea
60,"Metal Halide 1000 W bulb Surface Mount, aluminum reflector, includes hardware",rs-means,Unit,180176,Ea
61,"Metal Halide 250W lamps Type J Low Bay Surface Mount, aluminum reflector 28FC, includes hardware",rs-means,Unit,180177,Ea
62,"Metal Halide 400 W bulb Surface Mount, aluminum reflector, includes hardware",rs-means,Unit,180178,Ea
63,"Metal Halide 400W lamps Type J Low Bay Surface Mount, aluminum reflector 44FC, includes hardware",rs-means,Unit,180179,Ea
64,"Metal halide fixture, interior, recessed, square, 175 W, incl lamps, and mounting hardware",rs-means,Unit,180180,Ea
65,"Metal halide fixture, interior, surface, square, 175 W, incl lamps, and mounting hardware",rs-means,Unit,180181,Ea
66,"Metal halide fixture, interior, pendent, square, 175 W, incl lamps, and mounting hardware",rs-means,Unit,180182,Ea
67,"Metal halide fixture, interior, pendent, square, 200 W, incl lamps, and mounting hardware",rs-means,Unit,180183,Ea
68,"Metal halide fixture, interior, pendent, square, 400 W, incl lamps, and mounting hardware",rs-means,Unit,180184,Ea
69,"Metal halide fixture, interior, integral ballast, prismatic glass lens, recess mounted, 250 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,180185,Ea
70,"Metal halide fixture, interior, integral ballast, prismatic glass lens, recess mounted, 400 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,180186,Ea
71,"Metal halide fixture, interior, integral ballast, prismatic glass lens, surface mounted, 250 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,180187,Ea
72,"Metal halide fixture, interior, integral ballast, prismatic glass lens, surface mounted, 400 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,180188,Ea
73,"Metal halide fixture, interior, surface mounted, high bay, aluminum reflector, single unit, 400 W, incl lamps, mounting hardware and connections",rs-means,Unit,180178,Ea
74,"Metal halide fixture, interior, surface mounted, high bay, aluminum reflector, single unit, 1000 W, incl lamps, mounting hardware and connections",rs-means,Unit,180176,Ea
75,"Metal halide fixture, interior, surface mounted, high bay, aluminum reflector, twin unit, 2-400 W, incl lamps, mounting hardware and connections",rs-means,Unit,180189,Ea
76,"Metal halide fixture, interior, surface mounted, low bay, aluminum reflector, DX lamp, 250 W, incl lamps, mounting hardware and connections",rs-means,Unit,180177,Ea
77,"Metal halide fixture, interior, surface mounted, low bay, aluminum reflector, DX lamp, 400 W, incl lamps, mounting hardware and connections",rs-means,Unit,180179,Ea
80,"High pressure sodium fixture, interior, recessed, square, 70 W, incl lamps, and mounting hardware",rs-means,Unit,180190,Ea
81,"High pressure sodium fixture, interior, recessed, square, 100 W, incl lamps, and mounting hardware",rs-means,Unit,180191,Ea
82,"High pressure sodium fixture, interior, recessed, square, 250 W, incl lamps, and mounting hardware",rs-means,Unit,180192,Ea
83,"High pressure sodium fixture, interior, recessed, square, 1000 W, incl lamps, and mounting hardware",rs-means,Unit,180193,Ea
84,"High pressure sodium fixture, interior, surface, square, 70 W, incl lamps, and mounting hardware",rs-means,Unit,180194,Ea
85,"High pressure sodium fixture, interior, surface, square, 100 W, incl lamps, and mounting hardware",rs-means,Unit,180195,Ea
86,"High pressure sodium fixture, interior, surface, square, 250 W, incl lamps, and mounting hardware",rs-means,Unit,180196,Ea
87,"High pressure sodium fixture, interior, pendent, square, 70 W, incl lamps, and mounting hardware",rs-means,Unit,180197,Ea
88,"High pressure sodium fixture, interior, pendent, square, 100 W, incl lamps, and mounting hardware",rs-means,Unit,180198,Ea
89,"High pressure sodium fixture, interior, pendent, square, 150 W, incl lamps, and mounting hardware",rs-means,Unit,180199,Ea
90,"High pressure sodium fixture, interior, pendent, square, 250 W, incl lamps, and mounting hardware",rs-means,Unit,180200,Ea
91,"High pressure sodium fixture, interior, pendent, square, 400 W, incl lamps, and mounting hardware",rs-means,Unit,180201,Ea
92,"High pressure sodium fixture, interior, wall, square, 70 W, incl lamps, and mounting hardware",rs-means,Unit,180202,Ea
93,"High pressure sodium fixture, interior, wall, square, 100 W, incl lamps, and mounting hardware",rs-means,Unit,180203,Ea
94,"High pressure sodium fixture, interior, wall, square, 150 W, incl lamps, and mounting hardware",rs-means,Unit,180204,Ea
95,"High pressure sodium fixture, interior, wall, square, 250 W, incl lamps, and mounting hardware",rs-means,Unit,180205,Ea
96,"High pressure sodium fixture, interior, wall, square, 400 W, incl lamps, and mounting hardware",rs-means,Unit,180206,Ea
97,"High pressure sodium fixture, interior, wall, square, 1000 W, incl lamps, and mounting hardware",rs-means,Unit,180207,Ea
78,"High pressure sodium fixture, interior, integral ballast, prismatic glass lens, recess mounted, 150 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,180208,Ea
79,"High pressure sodium fixture, interior, integral ballast, prismatic glass lens, recess mounted, 400 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,180209,Ea
80,"High pressure sodium fixture, interior, integral ballast, prismatic glass lens, surface mounted, 150 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,180210,Ea
81,"High pressure sodium fixture, interior, integral ballast, prismatic glass lens, surface mounted, 400 W, 2' W x 2' L, incl lamps, mounting hardware and connections",rs-means,Unit,180211,Ea
82,"High pressure sodium fixture, interior, surface mounted, high bay, aluminum reflector, single unit, 400 W, incl lamps, mounting hardware and connections",rs-means,Unit,180212,Ea
83,"High pressure sodium fixture, interior, surface mounted, high bay, aluminum reflector, single unit, 1000 W, incl lamps, mounting hardware and connections",rs-means,Unit,180213,Ea
84,"High pressure sodium fixture, interior, surface mounted, low bay, aluminum reflector, 150 W, incl lamps, mounting hardware and connections",rs-means,Unit,180214,Ea
90,"HID quartz restrike, interior lighting fixtures, high bay, incl lamps, mounting hardware and connections",rs-means,Unit,180215,Ea
100,"Interior LED fixtures, downlight, recess mounted, 25 watt, 7.5"" diameter, incl lamps, mounting hardware and connections",rs-means,Unit,180216,Ea
101,"Interior LED fixtures, downlight, recess mounted, 36 watt, 10"" diameter, incl lamps, mounting hardware and connections",rs-means,Unit,180217,Ea
