construction_opaque_id,surface_type,construction_type_name,author,old_type_code,intended_surface_type,standards_construction_type,type_index,climate_zone,rsi_k_m2_per_w,description,material_opaque_id_layers,material_desciptions,Code
1,EXPFLOOR,BTAP-ExteriorFloor-SteelFramed-1,BTAP,1,ExteriorFloor,SteelFramed,1,Zone 4,4.41,"Steel Flooring with  Metal finish, 100 PSF load","117,145,118,3,99,6,119","Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load
Installation of 14 gauge steel floor joist to beams/headers
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
2,EXPFLOOR,BTAP-ExteriorFloor-SteelFramed-1,BTAP,1,ExteriorFloor,SteelFramed,1,Zone 5,5.46,"Steel Flooring with  Metal finish, 100 PSF load","117,145,118,3,99,56,6,119","Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load
Installation of 14 gauge steel floor joist to beams/headers
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
Isoboard, 1"" thick, RSI .98
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
3,EXPFLOOR,BTAP-ExteriorFloor-SteelFramed-1,BTAP,1,ExteriorFloor,SteelFramed,1,Zone 6,5.46,"Steel Flooring with  Metal finish, 100 PSF load","117,145,118,3,99,56,6,119","Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load
Installation of 14 gauge steel floor joist to beams/headers
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
Isoboard, 1"" thick, RSI .98
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
4,EXPFLOOR,BTAP-ExteriorFloor-SteelFramed-1,BTAP,1,ExteriorFloor,SteelFramed,1,Zone 7A,6.17,"Steel Flooring with  Metal finish, 100 PSF load","117,145,118,3,99,67,6,119","Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load
Installation of 14 gauge steel floor joist to beams/headers
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
Isoboard sheathing, 2"" thick RSI 1.93
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
5,EXPFLOOR,BTAP-ExteriorFloor-SteelFramed-1,BTAP,1,ExteriorFloor,SteelFramed,1,Zone 7B,6.17,"Steel Flooring with  Metal finish, 100 PSF load","117,145,118,3,99,67,6,119","Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load
Installation of 14 gauge steel floor joist to beams/headers
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
Isoboard sheathing, 2"" thick RSI 1.93
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
6,EXPFLOOR,BTAP-ExteriorFloor-SteelFramed-1,BTAP,1,ExteriorFloor,SteelFramed,1,Zone 8,7.04,"Steel Flooring with  Metal finish, 100 PSF load","117,145,118,3,163,67,6,119","Floor system, light gauge (14 ga.) galvanized steel, ""C"" type joists, 10"" deep, 24"" spacing, 15' span, 116 PSF total load
Installation of 14 gauge steel floor joist to beams/headers
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
Polyurethane Foam 4.5"" thick, RSI5.72
Isoboard sheathing, 2"" thick RSI 1.93
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
7,EXPFLOOR,BTAP-ExteriorFloor-WoodFramed-1,BTAP,2,ExteriorFloor,WoodFramed,1,Zone 4,4.41,"Wood Flooring with  Metal finish, 100 PSF load","120,118,3,99,6,119","Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
8,EXPFLOOR,BTAP-ExteriorFloor-WoodFramed-1,BTAP,2,ExteriorFloor,WoodFramed,1,Zone 5,5.46,"Wood Flooring with  Metal finish, 100 PSF load","120,118,3,99,6,119","Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
9,EXPFLOOR,BTAP-ExteriorFloor-WoodFramed-1,BTAP,2,ExteriorFloor,WoodFramed,1,Zone 6,5.46,"Wood Flooring with  Metal finish, 100 PSF load","120,118,3,99,6,119","Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
10,EXPFLOOR,BTAP-ExteriorFloor-WoodFramed-1,BTAP,2,ExteriorFloor,WoodFramed,1,Zone 7A,6.17,"Wood Flooring with  Metal finish, 100 PSF load","120,118,3,99,54,6,119","Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
0.5"" Isoboard, 4 x 8 sheet, foil faced (RSI 0.48)
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
