curve_name,template,operation_type,curve_type,coefficient1,coefficient2,coefficient3,coefficient4,coefficient5,coefficient6,coefficient7,coefficient8,coefficient9,coefficient10,min_val_x,max_val_x,min_val_y,max_val_y
Old_Low_Temp_Comp_Pwr_Curve,old,LT,Power,29669.27106,1027.632052,18.10662623,-442.1997136,11.13352877,-20.38045192,0.139980653,-0.058866918,-0.218451538,0.203858467,-40,-17.8,4.4,54.4
Old_Med_Temp_Comp_Pwr_Curve,old,MT,Power,7438.922294,-269.5975647,-9.856104461,553.5732602,-3.385889614,14.86578782,-0.100796292,0.009822793,0.097362356,-0.039675217,-23.3,7.2,10,60
New_Low_Temp_Comp_Pwr_Curve,new,LT,Power,6274.990362,61.39066125,1.620853748,129.1127948,0.874116171,1.958117256,0.030293311,0.005754678,0.004653957,-0.000749905,-40,-17.8,4.4,54.4
New_Med_Temp_Comp_Pwr_Curve,new,MT,Power,4994.033647,170.249719,2.846389112,356.7940341,-6.307470374,-1.409856005,0.012160476,0.076231729,-0.057527471,0.009054446,-23.3,7.2,10,60
Advanced_Low_Temp_Comp_Pwr_Curve,advanced,LT,Power,6274.990362,61.39066125,1.620853748,129.1127948,0.874116171,1.958117256,0.030293311,0.005754678,0.004653957,-0.000749905,-40,-17.8,4.4,54.4
Advanced_Med_Temp_Comp_Pwr_Curve,advanced,MT,Power,4994.033647,170.249719,2.846389112,356.7940341,-6.307470374,-1.409856005,0.012160476,0.076231729,-0.057527471,0.009054446,-23.3,7.2,10,60
Old_Low_Temp_Comp_Cap_Curve,old,LT,Capacity,170751.8339,6102.903702,78.2619862,-2959.432648,19.78765887,-90.95810147,0.435964768,-0.041157653,-0.60884596,0.459133262,-40,-17.8,4.4,54.4
Old_Med_Temp_Comp_Cap_Curve,old,MT,Capacity,151166.4362,5266.347888,60.67271508,-1851.559382,5.731327549,-46.92771731,0.136401203,-0.035697884,-0.403053994,-0.039290478,-23.3,7.2,10,60
New_Low_Temp_Comp_Cap_Curve,new,LT,Capacity,58336.86118,1561.7435,6.606812861,-283.6500679,-0.120234941,-12.49574858,-0.116278559,0.002277001,-0.118148325,0.032839613,-40,-17.8,4.4,54.4
New_Med_Temp_Comp_Cap_Curve,new,MT,Capacity,61412.17466,1570.851906,13.53344913,-500.1952361,8.16391243,-3.689538504,0.054485574,-0.088096805,0.006381584,-0.037503058,-23.3,7.2,10,60
Advanced_Low_Temp_Comp_Cap_Curve,advanced,LT,Capacity,58336.86118,1561.7435,6.606812861,-283.6500679,-0.120234941,-12.49574858,-0.116278559,0.002277001,-0.118148325,0.032839613,-40,-17.8,4.4,54.4
Advanced_Med_Temp_Comp_Cap_Curve,advanced,MT,Capacity,61412.17466,1570.851906,13.53344913,-500.1952361,8.16391243,-3.689538504,0.054485574,-0.088096805,0.006381584,-0.037503058,-23.3,7.2,10,60
