walkin_name,template,operation_type,insulated_floor_area,rated_capacity,operating_temperature,rated_cooling_source_temperature,rated_total_heating_power,rated_cooling_fan_power,lighting_power,lighting_schedule,defrost_type,defrost_control_type,defrost_schedule,drip_down_schedule,defrost_power,temperature_termination_defrost_fraction_to_ice,insulated_floor_uvalue,total_insulatedsurface_area_facing_zone,insulated_surface_uvalue_facing_zone,area_of_glass_reachin_doors_facing_zone,reachin_door_uvalue,area_of_stocking_doors_facing_zone,height_of_stocking_doors_facing_zone,stocking_door_u,stocking_door_schedule,stocking_door_opening_protection
Walk-in Cooler - 360SF with no glass door,old,MT,33.4,6687.5,1.7,-3.9,0,387.9,361.2,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,86.9,2.27,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 400SF with no glass door,old,MT,37.2,7228.4,1.7,-3.9,0,419.2,401.3,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,93.1,2.27,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 480SF with no glass door,old,MT,44.6,8291.7,1.7,-3.9,0,480.9,481.6,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,105.6,2.27,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 600SF with no glass door,old,MT,55.7,9840.5,1.7,-3.9,0,570.7,602,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,124.4,2.27,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 660SF with no glass door,old,MT,61.3,10594.1,1.7,-3.9,0,614.5,662.2,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,133.8,2.27,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 64SF with glass door,old,MT,5.9,2494,1.7,-3.9,0,144.7,64.2,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,40.6,2.27,2.1,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 80SF with glass door,old,MT,7.4,2729.3,1.7,-3.9,0,158.3,80.3,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,43.1,2.27,2.6,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 100SF with glass door,old,MT,9.3,3022,1.7,-3.9,0,175.3,100.3,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,46.2,2.27,3.3,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 120SF with glass door,old,MT,11.1,3313.2,1.7,-3.9,0,192.2,120.4,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,49.3,2.27,3.9,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 240SF with glass door,old,MT,22.3,5028.1,1.7,-3.9,0,291.6,240.8,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,68.1,2.27,7.8,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 360SF with glass door,old,MT,33.4,6687.5,1.7,-3.9,0,387.9,361.2,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,86.9,2.27,11.7,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 400SF with glass door,old,MT,37.2,7228.4,1.7,-3.9,0,419.2,401.3,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,93.1,2.27,13,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 480SF with glass door,old,MT,44.6,8291.7,1.7,-3.9,0,480.9,481.6,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,105.6,2.27,15.6,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 600SF with glass door,old,MT,55.7,9840.5,1.7,-3.9,0,570.7,602,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,124.4,2.27,19.5,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 660SF with glass door,old,MT,61.3,10594.1,1.7,-3.9,0,614.5,662.2,Always on,Offcycle,TimeSchedule,Cooler Defrost Sch,Cooler Drip-Down Sch,0,0.7,0.203,133.8,2.27,21.5,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 80SF,new,LT,7.4,1953.6,-26.1,-31.7,0,101.59,40.1,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,1543.4,0.7,0.203,43.1,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 120SF,new,LT,11.1,2540.7,-26.1,-31.7,0,132.12,60.2,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,2007.2,0.7,0.203,49.3,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 240SF,new,LT,22.3,4115.4,-26.1,-31.7,0,214,120.4,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,3251.2,0.7,0.203,68.1,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 360SF,new,LT,33.4,5410.2,-26.1,-31.7,0,281.33,180.6,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,4274,0.7,0.203,86.9,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 480SF,new,LT,44.6,6425,-26.1,-31.7,0,334.1,240.8,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,5075.7,0.7,0.203,105.6,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 64SF with no glass door,new,MT,5.9,1588.7,1.67,-3.9,0,63.5,32.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,40.6,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 80SF with no glass door,new,MT,7.4,1809.8,1.67,-3.9,0,72.4,40.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,43.1,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 100SF with no glass door,new,MT,9.3,2078.9,1.67,-3.9,0,83.2,50.2,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,46.2,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 120SF with no glass door,new,MT,11.1,2339.8,1.67,-3.9,0,93.6,60.2,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,49.3,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 240SF with no glass door,new,MT,22.3,3734.4,1.67,-3.9,0,149.4,120.4,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,68.1,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 360SF with no glass door,new,MT,33.4,4836.4,1.67,-3.9,0,193.5,180.6,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,86.9,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 400SF with no glass door,new,MT,37.2,5138.6,1.67,-3.9,0,205.5,200.7,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,93.1,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 480SF with no glass door,new,MT,44.6,5645.6,1.67,-3.9,0,225.8,240.8,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,105.6,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 600SF with no glass door,new,MT,55.7,6162,1.67,-3.9,0,246.5,301,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,124.4,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 660SF with no glass door,new,MT,61.3,6310.5,1.67,-3.9,0,252.4,331.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,133.8,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 64SF with glass door,new,MT,5.9,1588.7,1.67,-3.9,0,63.5,32.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,40.6,0.203,2.1,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 80SF with glass door,new,MT,7.4,1809.8,1.67,-3.9,0,72.4,40.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,43.1,0.203,2.6,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 100SF with glass door,new,MT,9.3,2078.9,1.67,-3.9,0,83.2,50.2,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,46.2,0.203,3.3,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 120SF with glass door,new,MT,11.1,2339.8,1.67,-3.9,0,93.6,60.2,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,49.3,0.203,3.9,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 240SF with glass door,new,MT,22.3,3734.4,1.67,-3.9,0,149.4,120.4,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,68.1,0.203,7.8,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 360SF with glass door,new,MT,33.4,4836.4,1.67,-3.9,0,193.5,180.6,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,86.9,0.203,11.7,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 400SF with glass door,new,MT,37.2,5138.6,1.67,-3.9,0,205.5,200.7,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,93.1,0.203,13,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 480SF with glass door,new,MT,44.6,5645.6,1.67,-3.9,0,225.8,240.8,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,105.6,0.203,15.6,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 600SF with glass door,new,MT,55.7,6162,1.67,-3.9,0,246.5,301,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,124.4,0.203,19.5,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 660SF with glass door,new,MT,61.3,6310.5,1.67,-3.9,0,252.4,331.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,133.8,0.203,21.5,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 80SF,advanced,LT,7.4,1858.7,-26.1,-31.7,0,96.65,40.1,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,1468.4,0.7,0.203,43.1,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 120SF,advanced,LT,11.1,2308.3,-26.1,-31.7,0,120.03,60.2,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,1823.6,0.7,0.203,49.3,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 240SF,advanced,LT,22.3,3614.4,-26.1,-31.7,0,187.95,120.4,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,2855.4,0.7,0.203,68.1,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 360SF,advanced,LT,33.4,4856.2,-26.1,-31.7,0,252.52,180.6,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,3836.4,0.7,0.203,86.9,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Freezer - 480SF,advanced,LT,44.6,6033.8,-26.1,-31.7,0,313.76,240.8,Always on,Electric,TemperatureTermination,Freezer Defrost Sch,Freezer Drip-Down Sch,4766.7,0.7,0.203,105.6,0.177,0,,3.3,2.1,0.177,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 64SF with no glass door,advanced,MT,5.9,1605.3,1.67,-3.9,0,64.2,32.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,40.6,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 80SF with no glass door,advanced,MT,7.4,1746.9,1.67,-3.9,0,69.9,40.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,43.1,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 100SF with no glass door,advanced,MT,9.3,1923.1,1.67,-3.9,0,76.9,50.2,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,46.2,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 120SF with no glass door,advanced,MT,11.1,2098.2,1.67,-3.9,0,83.9,60.2,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,49.3,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 240SF with no glass door,advanced,MT,22.3,3129,1.67,-3.9,0,125.2,120.4,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,68.1,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 360SF with no glass door,advanced,MT,33.4,4124.7,1.67,-3.9,0,165,180.6,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,86.9,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 400SF with no glass door,advanced,MT,37.2,4448.8,1.67,-3.9,0,178,200.7,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,93.1,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 480SF with no glass door,advanced,MT,44.6,5085.3,1.67,-3.9,0,203.4,240.8,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,105.6,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 600SF with no glass door,advanced,MT,55.7,6011,1.67,-3.9,0,240.4,301,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,124.4,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 660SF with no glass door,advanced,MT,61.3,6460.7,1.67,-3.9,0,258.4,331.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,133.8,0.203,0,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 64SF with glass door,advanced,MT,5.9,1605.3,1.67,-3.9,0,64.2,32.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,40.6,0.203,2.1,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 80SF with glass door,advanced,MT,7.4,1746.9,1.67,-3.9,0,69.9,40.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,43.1,0.203,2.6,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 100SF with glass door,advanced,MT,9.3,1923.1,1.67,-3.9,0,76.9,50.2,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,46.2,0.203,3.3,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 120SF with glass door,advanced,MT,11.1,2098.2,1.67,-3.9,0,83.9,60.2,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,49.3,0.203,3.9,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 240SF with glass door,advanced,MT,22.3,3129,1.67,-3.9,0,125.2,120.4,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,68.1,0.203,7.8,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 360SF with glass door,advanced,MT,33.4,4124.7,1.67,-3.9,0,165,180.6,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,86.9,0.203,11.7,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 400SF with glass door,advanced,MT,37.2,4448.8,1.67,-3.9,0,178,200.7,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,93.1,0.203,13,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 480SF with glass door,advanced,MT,44.6,5085.3,1.67,-3.9,0,203.4,240.8,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,105.6,0.203,15.6,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 600SF with glass door,advanced,MT,55.7,6011,1.67,-3.9,0,240.4,301,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,124.4,0.203,19.5,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
Walk-in Cooler - 660SF with glass door,advanced,MT,61.3,6460.7,1.67,-3.9,0,258.4,331.1,Always on,Offcycle,TimeSchedule,"Cooler Defrost Sch,",Cooler Drip-Down Sch,0,0,2.27,133.8,0.203,21.5,2.27,3.3,2.1,0.203,Walk-in Door Sch,StripCurtain
