space_type,building_type,exhaust_per_area
Kitchen,FullServiceRestaurant,0.7
Kitchen,Hospital,0.7
Kitchen,LargeHotel,0.7
Laundry,LargeHotel,0.7
Anesthesia,Outpatient,1.3333
MRI,Outpatient,1.0
MRI_Control,Outpatient,1.0
Soil Work,Outpatient,1.6666
Toilet,Outpatient,1.6666
Kitchen,PrimarySchool,0.7
Restroom,PrimarySchool,0.29
Kitchen,QuickServiceRestaurant,0.7
Kitchen,SecondarySchool,0.7
Restroom,SecondarySchool,0.28
PublicRestroom,SmallHotel,1.14
Bakery,SuperMarket,1.24
Deli,SuperMarket,1.24
