template,building_type,space_type,min_stories,max_stories,w_per_m2,Fixture_type_less_than_7.88ft_ht,Fixture_type_7.88_to_15.75ft_ht,Fixture_type_greater_than_>15.75ft_ht,Lux,Type
NECB 2011,Automotive Facility,WholeBuilding,1,999,8.8,1,7,9,,CFL
NECB 2011,Convention centre,WholeBuilding,1,999,11.6,2,7,10,,CFL
NECB 2011,Courthouse,WholeBuilding,1,999,11.3,2,9,10,,CFL
NECB 2011,Dining - bar/lounge,WholeBuilding,1,999,10.7,2,7,17,,CFL
NECB 2011,Dining - cafeteria,WholeBuilding,1,999,9.7,2,7,17,,CFL
NECB 2011,Dining - family,WholeBuilding,1,999,9.6,2,7,17,,CFL
NECB 2011,Dormitory,WholeBuilding,1,4,6.6,1,7,17,,CFL
NECB 2011,Dormitory,WholeBuilding,5,999,6.6,1,6,9,,CFL
NECB 2011,Exercise Centre,WholeBuilding,1,999,9.5,2,9,9,,CFL
NECB 2011,Fire Station,WholeBuilding,1,999,7.6,1,9,9,,CFL
NECB 2011,Gymnasium,WholeBuilding,1,999,10.8,2,9,9,,CFL
NECB 2011,Health-care clinic,WholeBuilding,1,2,9.4,1,7,9,,CFL
NECB 2011,Health-care clinic,WholeBuilding,3,999,9.4,1,7,9,,CFL
NECB 2011,Hospital,WholeBuilding,1,999,13.0,2,7,10,,CFL
NECB 2011,Hotel,WholeBuilding,1,4,10.8,2,7,9,,CFL
NECB 2011,Hotel,WholeBuilding,5,999,10.8,2,7,9,,CFL
NECB 2011,Library,WholeBuilding,1,2,12.7,2,7,18,,CFL
NECB 2011,Library,WholeBuilding,3,999,12.7,2,7,18,,CFL
NECB 2011,Manufacturing Facility,WholeBuilding,1,999,11.9,2,9,14,,CFL
NECB 2011,Motel,WholeBuilding,1,4,9.5,2,7,9,,CFL
NECB 2011,Motel,WholeBuilding,5,999,9.5,2,7,9,,CFL
NECB 2011,Motion Picture Theatre,WholeBuilding,1,999,8.9,2,7,17,,CFL
NECB 2011,Multi-unit residential,WholeBuilding,1,4,6.5,1,6,9,,CFL
NECB 2011,Multi-unit residential,WholeBuilding,5,999,6.5,1,6,9,,CFL
NECB 2011,Museum,WholeBuilding,1,2,11.4,2,17,17,,CFL
NECB 2011,Museum,WholeBuilding,3,999,11.4,2,17,17,,CFL
NECB 2011,Office,WholeBuilding,1,2,9.7,2,7,9,,CFL
NECB 2011,Office,WholeBuilding,3,999,9.7,2,7,9,,CFL
NECB 2011,Parking Garage,WholeBuilding,1,999,2.7,1,9,9,,CFL
NECB 2011,Penitentiary,WholeBuilding,1,999,10.4,2,7,9,,CFL
NECB 2011,Performing arts theatre,WholeBuilding,1,999,15.0,3,7,17,,CFL
NECB 2011,Police Station,WholeBuilding,1,999,10.3,2,9,9,,CFL
NECB 2011,Post Office,WholeBuilding,1,2,9.4,1,7,9,,CFL
NECB 2011,Post Office,WholeBuilding,3,999,9.4,1,7,9,,CFL
NECB 2011,Religious,WholeBuilding,1,999,11.3,2,7,18,,CFL
NECB 2011,Retail,WholeBuilding,1,2,15.1,3,7,18,,CFL
NECB 2011,Retail,WholeBuilding,3,999,15.1,3,7,18,,CFL
NECB 2011,School/University,WholeBuilding,1,4,10.7,2,7,17,,CFL
NECB 2011,School/University,WholeBuilding,5,999,10.7,2,7,17,,CFL
NECB 2011,Sports Arena,WholeBuilding,1,999,8.4,1,7,9,,CFL
NECB 2011,Town Hall,WholeBuilding,1,4,9.9,2,7,17,,CFL
NECB 2011,Town Hall,WholeBuilding,5,999,9.9,2,7,17,,CFL
NECB 2011,Transportation,WholeBuilding,1,4,8.3,1,9,9,,CFL
NECB 2011,Transportation,WholeBuilding,5,999,8.3,1,9,9,,CFL
NECB 2011,Warehouse,WholeBuilding,1,999,7.1,1,9,9,,CFL
NECB 2011,Workshop,WholeBuilding,1,999,12.9,2,7,9,,CFL
NECB 2011,Warehouse - refrigerated,WholeBuilding,1,999,7.1,1,9,9,,CFL
NECB 2011,Space Function,Atrium - H < 13m,1,999,1.3,4,7,17,,CFL
NECB 2011,Space Function,Atrium - H > 13m,1,999,9.8,4,17,13,,CFL
NECB 2011,Space Function,Audience - auditorium,1,1,8.5,1,7,9,,CFL
NECB 2011,Space Function,Audience - auditorium,2,999,8.5,1,7,9,,CFL
NECB 2011,Space Function,Audience - performance arts,1,999,26.2,4,7,19,,CFL
NECB 2011,Space Function,Audience - motion picture,1,999,12.3,2,7,18,,CFL
NECB 2011,Space Function,Classroom/Lecture/Training,1,1,13.3,2,7,18,,CFL
NECB 2011,Space Function,Classroom/Lecture/Training,2,999,13.3,2,7,18,,CFL
NECB 2011,Space Function,Conf./meet./multi-purpose,1,1,13.2,2,7,18,,CFL
NECB 2011,Space Function,Conf./meet./multi-purpose,2,999,13.2,2,7,18,,CFL
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-A,1,999,7.1,1,7,17,,CFL
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-B,1,999,7.1,1,7,17,,CFL
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-C,1,999,7.1,1,7,17,,CFL
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-D,1,999,7.1,1,7,17,,CFL
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-E,1,999,7.1,1,7,17,,CFL
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-F,1,999,7.1,1,7,17,,CFL
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-G,1,999,7.1,1,7,17,,CFL
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-H,1,999,7.1,1,7,17,,CFL
NECB 2011,Space Function,Corr. >= 2.4m wide-sch-I,1,999,7.1,1,7,17,,CFL
NECB 2011,Space Function,Corr. < 2.4m wide-sch-A,1,999,8.4,1,7,17,,CFL
NECB 2011,Space Function,Corr. < 2.4m wide-sch-B,1,999,8.4,1,7,17,,CFL
NECB 2011,Space Function,Corr. < 2.4m wide-sch-C,1,999,8.4,1,7,17,,CFL
NECB 2011,Space Function,Corr. < 2.4m wide-sch-D,1,999,8.4,1,7,17,,CFL
NECB 2011,Space Function,Corr. < 2.4m wide-sch-E,1,999,8.4,1,7,17,,CFL
NECB 2011,Space Function,Corr. < 2.4m wide-sch-F,1,999,8.4,1,7,17,,CFL
NECB 2011,Space Function,Corr. < 2.4m wide-sch-G,1,999,8.4,1,7,17,,CFL
NECB 2011,Space Function,Corr. < 2.4m wide-sch-H,1,999,8.4,1,7,17,,CFL
NECB 2011,Space Function,Corr. < 2.4m wide-sch-I,1,999,8.4,1,7,17,,CFL
NECB 2011,Space Function,Dining - other,1,1,7.0,1,7,9,,CFL
NECB 2011,Space Function,Dining - bar lounge/leisure,1,1,14.1,2,7,18,,CFL
NECB 2011,Space Function,Dining - family space,1,1,9.6,2,7,9,,CFL
NECB 2011,Space Function,Dress./fitt. - performance arts,1,1,4.3,1,7,9,,CFL
NECB 2011,Space Function,Electrical/Mechanical-sch-A,1,1,13.4,2,9,9,,CFL
NECB 2011,Space Function,Electrical/Mechanical-sch-B,1,1,13.4,2,9,9,,CFL
NECB 2011,Space Function,Electrical/Mechanical-sch-C,1,1,13.4,2,9,9,,CFL
NECB 2011,Space Function,Electrical/Mechanical-sch-D,1,1,13.4,2,9,9,,CFL
NECB 2011,Space Function,Electrical/Mechanical-sch-E,1,1,13.4,2,9,9,,CFL
NECB 2011,Space Function,Electrical/Mechanical-sch-F,1,1,13.4,2,9,9,,CFL
NECB 2011,Space Function,Electrical/Mechanical-sch-G,1,1,13.4,2,9,9,,CFL
NECB 2011,Space Function,Electrical/Mechanical-sch-H,1,1,13.4,2,9,9,,CFL
NECB 2011,Space Function,Electrical/Mechanical-sch-I,1,1,13.4,2,9,9,,CFL
NECB 2011,Space Function,Food preparation,1,1,10.7,2,7,9,,CFL
NECB 2011,Space Function,Lab - classrooms,1,1,17.2,3,7,17,,CFL
NECB 2011,Space Function,Lab - research,1,1,23.6,3,7,19,,CFL
NECB 2011,Space Function,Lobby - other,1,999,10.8,2,7,17,,CFL
NECB 2011,Space Function,Lobby - elevator,1,999,6.9,1,7,17,,CFL
NECB 2011,Space Function,Lobby - performance arts,1,999,21.5,3,7,18,,CFL
NECB 2011,Space Function,Lobby - motion picture,1,999,5.6,1,7,9,,CFL
NECB 2011,Space Function,Locker room-sch-A,1,1,9.8,2,7,17,,CFL
NECB 2011,Space Function,Locker room-sch-B,1,1,9.8,2,7,17,,CFL
NECB 2011,Space Function,Locker room-sch-C,1,1,9.8,2,7,17,,CFL
NECB 2011,Space Function,Locker room-sch-D,1,1,9.8,2,7,17,,CFL
NECB 2011,Space Function,Locker room-sch-E,1,1,9.8,2,7,17,,CFL
NECB 2011,Space Function,Locker room-sch-F,1,1,9.8,2,7,17,,CFL
NECB 2011,Space Function,Locker room-sch-G,1,1,9.8,2,7,17,,CFL
NECB 2011,Space Function,Locker room-sch-H,1,1,9.8,2,7,17,,CFL
NECB 2011,Space Function,Locker room-sch-I,1,1,9.8,2,7,17,,CFL
NECB 2011,Space Function,Lounge/recreation,1,1,9.4,2,7,17,,CFL
NECB 2011,Space Function,Washroom-sch-A,1,1,10.5,2,7,17,,CFL
NECB 2011,Space Function,Washroom-sch-B,1,1,10.5,2,7,17,,CFL
NECB 2011,Space Function,Washroom-sch-C,1,1,10.5,2,7,17,,CFL
NECB 2011,Space Function,Washroom-sch-D,1,1,10.5,2,7,17,,CFL
NECB 2011,Space Function,Washroom-sch-E,1,1,10.5,2,7,17,,CFL
NECB 2011,Space Function,Washroom-sch-F,1,1,10.5,2,7,17,,CFL
NECB 2011,Space Function,Washroom-sch-G,1,1,10.5,2,7,17,,CFL
NECB 2011,Space Function,Washroom-sch-H,1,1,10.5,2,7,17,,CFL
NECB 2011,Space Function,Washroom-sch-I,1,1,10.5,2,7,17,,CFL
NECB 2011,Space Function,Sales Area,1,1,18.1,3,7,18,,CFL
NECB 2011,Space Function,Stairway-sch-A,1,1,7.4,1,7,17,,CFL
NECB 2011,Space Function,Stairway-sch-B,1,1,7.4,1,7,17,,CFL
NECB 2011,Space Function,Stairway-sch-C,1,1,7.4,1,7,17,,CFL
NECB 2011,Space Function,Stairway-sch-D,1,1,7.4,1,7,17,,CFL
NECB 2011,Space Function,Stairway-sch-E,1,1,7.4,1,7,17,,CFL
