materials_glazing_id,description,per m2,Embodied Carbon (A1-A5),Embodied Carbon (A-C),Environmental Product Declaration (EPD)
1,"Windows, aluminum, awning, standard glass, 4'-5"" x 5'-3""",1.0,109.812,123.989,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
2,"6' x 7' aluminum patio, tempered glass, zero frame thermal break",1.0,108.37,15.261,"Argon gas filled insulating glass unit (IGU) with tempered glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
3,"entrance, door 5'x7', opening 12'x7'-6', electric operator, zero frame thermal break",1.0,64.786,27.844,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
4,"fixed mall front panels, aluminum finish 48' x 9' opening, zero frame thermal break",1.0,70.769,83.429,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
5,"aluminum window: stock 5'x3' including framing and insulated glazing, zero frame thermal break",1.0,69.764,72.504,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
6,"Windows, aluminum, awning, standard glass, 4'-5"" x 5'-3""",1.0,91.585,33.216,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
7,"6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs, zero frame thermal break",1.0,50.607,77.591,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
8,"Windows, aluminum, awning, standard glass, 4'-5"" x 5'-3""",1.0,45.604,58.102,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
9,"Windows, aluminum, awning, insulated glass, 4'-5"" x 5'-3""",1.0,105.412,115.244,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
10,"6' x 7' aluminum patio, tempered glass",1.0,55.773,60.652,"Argon gas filled insulating glass unit (IGU) with tempered glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
