materials_glazing_id,description,per m2,Embodied Carbon (A1-A5),Embodied Carbon (A-C),Environmental Product Declaration (EPD)
1,"Windows, aluminum, awning, standard glass, 4'-5"" x 5'-3""",1.577,74.325,81.603,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
2,"6' x 7' aluminum patio, tempered glass, zero frame thermal break",2.44,105.126,14.428,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
3,"entrance, door 5'x7', opening 12'x7'-6', electric operator, zero frame thermal break",1.21,33.645,14.061,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
4,"fixed mall front panels, aluminum finish 48' x 9' opening, zero frame thermal break",0.987,29.979,34.366,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
5,"aluminum window: stock 5'x3' including framing and insulated glazing, zero frame thermal break",2.47,73.957,74.74,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
6,"Windows, aluminum, awning, standard glass, 4'-5"" x 5'-3""",1.577,61.989,21.861,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
7,"6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs, zero frame thermal break",2.45,53.215,79.335,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
8,"Windows, aluminum, awning, standard glass, 4'-5"" x 5'-3""",1.577,30.867,38.24,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
9,"Windows, aluminum, awning, insulated glass, 4'-5"" x 5'-3""",1.577,71.347,75.847,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
10,"6' x 7' aluminum patio, tempered glass",2.44,54.103,57.343,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
11,"entrance, door 5'x7', opening 12'x7'-6', electric operator",1.21,38.802,64.185,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
12,"fixed mall front panels, aluminum finish 48' x 9' opening",0.987,28.019,20.609,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
13,aluminum window: stock 5'x3' including framing and insulated glazing,2.47,117.479,40.687,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
14,"Windows, aluminum, awning, insulated glass, 4'-5"" x 5'-3""",1.577,44.207,49.426,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
15,"6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs",2.45,6.292,63.919,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
16,"Windows, aluminum, awning, insulated glass, 4'-5"" x 5'-3""",1.577,62.329,74.157,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
17,"Windows, aluminum, double hung, insul. glass, 3'-0"" x 4'-0""",1.58,34.727,65.656,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
18,"triple glazed U= 1.6 W/m2-K, 6' x 7' aluminum patio, tempered glass",1.12,37.717,56.548,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
19,"triple glazed U= 1.6 W/m2-K, entrance, door 5'x7', opening 12'x7'-6', electric operator",1.458,37.961,3.095,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
