Template,Climate Zone Set,Intended Surface Type,Standards Construction Type,Building Category,Construction,Minimum Percent of Surface,Maximum Percent of Surface,Assembly Maximum U-Value,Assembly Maximum F Factor,Assembly Maximum C Factor,Assembly Maximum Solar Heat Gain Coefficient
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorFloor,BTAP-ExteriorFloor-SteelFramed-1,Nonresidential,BTAP - Typical Insulated Steel Framed Exterior Floor-1,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorFloor,BTAP-ExteriorFloor-WoodFramed-1,Nonresidential,BTAP - Typical Insulated Wood Framed Exterior Floor-1,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorRoof,BTAP-ExteriorRoof-IEAD-1,Nonresidential,BTAP - Typical IEAD Roof-1,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorRoof,BTAP-ExteriorRoof-IEAD-2,Nonresidential,BTAP - Typical IEAD Roof-2,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorRoof,BTAP-ExteriorRoof-IEAD-3,Nonresidential,BTAP - Typical IEAD Roof-3,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorRoof,BTAP-ExteriorRoof-IEAD-4,Nonresidential,BTAP - Typical IEAD Roof-4,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorRoof,BTAP-ExteriorRoof-IEAD-5,Nonresidential,BTAP - Typical IEAD Roof-5,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorRoof,BTAP-ExteriorRoof-IEAD-6,Nonresidential,BTAP - Typical IEAD Roof-6,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorRoof,BTAP-ExteriorRoof-Metal-1,Nonresidential,BTAP - Typical Insulated Metal Building Roof-1,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorRoof,BTAP-ExteriorRoof-Metal-2,Nonresidential,BTAP - Typical Insulated Metal Building Roof-2,,,,,,
