materials_opaque_id,description,source,type,material_type,id,unit,quantity,material_mult,labour_mult,op_mult,eqpt
1,gypsum wallboard 0.5 in thick,rs-means,Unit,opaque,110017,ft2,1,1,1,0.381,1
2,"standard wood studs with single bottom plate and double top plate, 16"" O.C., pneumatic nailer",rs-means,Assembly,opaque,240018,LF,0.1,1,1,0,1
3,polyethylene 4 ml vapour barrier,rs-means,Unit,opaque,090019,SQ,0.01,1,1,0.543,1
4,"foil face fibreglass batts, 5"" thick, 15"" wide, RSI 3.36",rs-means,Unit,opaque,090020,ft2,1,0.84,1,0.229,1
5,"plywood sheathing, CDX, 0.5 in, pneumatic nailer",rs-means,Unit,opaque,080021,Ft2,1,1,1,0.33,1
6,"weather barrier, spunbonded polyethylene",rs-means,Unit,opaque,090022,ft2,1,1,1,0.29,1
7,"wood siding T&G ""B"" grade",rs-means,Unit,opaque,090023,ft2,1,1,1,0.18,1
8,"joint sealants. tapes, foam, adhesive ",rs-means,Assembly,opaque,240018,CLF,0.001,1,1,0,1
9,"waterproof sealer, 1 coat, sprayed",rs-means,Unit,opaque,110024,ft2,1,1,1,0.35,1
10,"stains, paints, 2 coats sprayed",rs-means,Unit,opaque,110025,ft2,1,1,1,0.36,1
11,"galvanized LB studs, 16 ga x 3-5/8\"" W studs 16\"" O.C. x 10' H, incl galvanized top & bottom track, excl openings, headers, beams, bracing & bridging",rs-means,Unit,opaque,070026,LF,0.1,1,1,0,1
12,Polymer EIFS with 2 in EPS and finish,rs-means,Unit,opaque,090027,ft2,1,1,1,0.4,1
13,"standard wood studs with single bottom plate and double top plate, 16"" O.C.",rs-means,Assembly,opaque,240018,ft2,1,1,1,0,1
14,"vinyl siding, clapboard profile, woodgrain texture, 0.048 "" thick, 8"" width",rs-means,Unit,opaque,090028,ft2,1,1,1,0.377,1
15,"aluminum flashing, mill finish. 0.013 "" thick",rs-means,Assembly,opaque,240029,ft2,1,1,1,0,1
16,"metal decking strips, galvanized, 18 gauge",rs-means,Unit,opaque,070030,LF,0.0766,1,1,0,1
17,"10 yr finish metal siding, 24 gauge, 0.0239 "" thick with fasteners",rs-means,Unit,opaque,090031,ft2,1,1,1,0.315,1
18,"aluminum closure strips, mill finish. 0.032 "" thick",rs-means,Unit,opaque,090032,LF,0.111,1,1,0,1
19,"joint sealants. tapes, foam, adhesive ",rs-means,Assembly,opaque,240033,CLF,0.00397,1,1,0,1
20,"Brick walls, face brick, red, running bond, 6.75/SF, 4\"" thick, includes mortar",rs-means,Unit,opaque,060034,ft2,1,1,1,0,1
21,"Lintel angle, structural, unpainted, under 500 lb., shop fabricated",rs-means,Unit,opaque,070035,lb,1,1,1,0,1
22,"Sheet metal flashing, 0.019"" thick",rs-means,Assembly,opaque,240018,ft2,0.1,1,1,0,1
23,"standard wood studs with single bottom plate and double top plate, 16"" O.C.",rs-means,Assembly,opaque,240036,ft2,1,1,1,0,1
24,"Block, tooled joints both sides, includes morter, excludes, scaffolding, reinforcing, grout",rs-means,Unit,opaque,060037,ft2,1,1,1,0,1
25,"masonry reinforcing bars, galvanized ladder type 9 gauge with ties placed horizontally",rs-means,Unit,opaque,060038,CLF,0.008,1,1,0,1
26,masonry #5 and #6 reinforcing bars placed vertically,rs-means,Unit,opaque,060039,lb,0.43,1,1,0,1
27,"Control joint, PVC",rs-means,Unit,opaque,060040,LF,0.05,1,1,0,1
