id,ventilation_primary_space_type,ventilation_secondary_space_type,ventilation_per_person,ventilation_per_person_unit,ventilation_per_area,ventilation_per_area_unit,occupancy_per_area,occupancy_per_area_unit,air_class,os,annotation
1,Animal Facilities,Animal exam room (veterinary office),10,cfm/person,0.12,cfm/ft2,20,ppl/1000 ft2,2,,
2,Animal Facilities,Animal imaging (MRI/CT/PET),10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
3,Animal Facilities,Animal operating rooms,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
4,Animal Facilities,Animal postoperative recovery room,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
5,Animal Facilities,Animal preparation rooms,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
6,Animal Facilities,Animal procedure room,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
7,Animal Facilities,Animal surgery scrub,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
8,Animal Facilities,Large-animal holding room,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
9,Animal Facilities,Necropsy,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
10,Animal Facilities,Small-animal-cage room (static cages),10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
11,Animal Facilities,Small-animal-cage room (ventilated cages),10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,3,,
12,Correctional Facilities,Booking/waiting,7.5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,2,,
13,Correctional Facilities,Cell,5,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,2,,
14,Correctional Facilities,Dayroom,5,cfm/person,0.06,cfm/ft2,30,ppl/1000 ft2,1,,
15,Correctional Facilities,Guard stations,5,cfm/person,0.06,cfm/ft2,15,ppl/1000 ft2,1,,
16,Educational Facilities,Art classroom,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,2,,
17,Educational Facilities,Classrooms (ages 5 to 8),10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
18,Educational Facilities,Classrooms (age 9 plus),10,cfm/person,0.12,cfm/ft2,35,ppl/1000 ft2,1,,
19,Educational Facilities,Computer lab,10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
20,Educational Facilities,Daycare sickroom,10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,3,,
21,Educational Facilities,Daycare (through age 4),10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,2,,
22,Educational Facilities,Lecture classroom,7.5,cfm/person,0.06,cfm/ft2,65,ppl/1000 ft2,1,yes,
23,Educational Facilities,Lecture hall (fixed seats),7.5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,yes,
24,Educational Facilities,Libraries (education),5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,,,
25,Educational Facilities,Media center,10,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,1,,
26,Educational Facilities,Multiuse assembly,7.5,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,1,yes,
27,Educational Facilities,Music/theater/dance,10,cfm/person,0.06,cfm/ft2,35,ppl/1000 ft2,1,yes,
28,Educational Facilities,Science laboratories,10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,2,,
29,Educational Facilities,University/college laboratories,10,cfm/person,0.18,cfm/ft2,25,ppl/1000 ft2,2,,
30,Educational Facilities,Wood/metal shop,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,2,,
31,Food and Beverage Service,"Bars, cocktail lounges",7.5,cfm/person,0.18,cfm/ft2,100,ppl/1000 ft2,2,,
32,Food and Beverage Service,Cafeteria/fast-food dining,7.5,cfm/person,0.18,cfm/ft2,100,ppl/1000 ft2,2,,
33,Food and Beverage Service,Kitchen (cooking),7.5,cfm/person,0.12,cfm/ft2,20,ppl/1000 ft2,2,,
34,Food and Beverage Service,Restaurant dining rooms,7.5,cfm/person,0.18,cfm/ft2,70,ppl/1000 ft2,2,,
35,"Food and Beverage Service, General",Break rooms,5,cfm/person,0.06,cfm/ft2,25,ppl/1000 ft2,1,yes,
36,"Food and Beverage Service, General",Coffee stations,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,yes,
37,"Food and Beverage Service, General",Conference/meeting,5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,1,yes,
38,"Food and Beverage Service, General",Corridors,,cfm/person,0.06,cfm/ft2,,ppl/1000 ft2,1,yes,
39,"Food and Beverage Service, General",Occupiable storage rooms for liquids or gels,5,cfm/person,0.12,cfm/ft2,2,ppl/1000 ft2,2,,
40,"Hotels, Motels, Resorts, Dormitories",Barracks sleeping areas,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,yes,
41,"Hotels, Motels, Resorts, Dormitories",Bedroom/living room,5,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,1,yes,
42,"Hotels, Motels, Resorts, Dormitories","Laundry rooms, central",5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,2,,
43,"Hotels, Motels, Resorts, Dormitories",Laundry rooms within dwelling units,5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,1,,
44,"Hotels, Motels, Resorts, Dormitories",Lobbies/prefunction,7.5,cfm/person,0.06,cfm/ft2,30,ppl/1000 ft2,1,yes,
45,"Hotels, Motels, Resorts, Dormitories",Multipurpose assembly,5,cfm/person,0.06,cfm/ft2,120,ppl/1000 ft2,1,yes,
46,Miscellaneous Spaces,Banks or bank lobbies,7.5,cfm/person,0.06,cfm/ft2,15,ppl/1000 ft2,1,yes,
47,Miscellaneous Spaces,Bank vaults/safe deposit,5,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,2,yes,
48,Miscellaneous Spaces,Computer (not printing),5,cfm/person,0.06,cfm/ft2,4,ppl/1000 ft2,1,yes,
49,Miscellaneous Spaces,Freezer and refrigerated spaces (<50�F [10�C]),10,cfm/person,0,cfm/ft2,0,ppl/1000 ft2,2,,
50,Miscellaneous Spaces,Manufacturing where hazardous materials are not used,10,cfm/person,0.18,cfm/ft2,7,ppl/1000 ft2,2,,
51,Miscellaneous Spaces,Manufacturing where hazardous materials are used (excludes heavy industrial and chemical processes),10,cfm/person,0.18,cfm/ft2,7,ppl/1000 ft2,3,,
52,Miscellaneous Spaces,Pharmacy (prep. area),5,cfm/person,0.18,cfm/ft2,10,ppl/1000 ft2,2,,
53,Miscellaneous Spaces,Photo studios,5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,1,,
54,Miscellaneous Spaces,Shipping/receiving,10,cfm/person,0.12,cfm/ft2,2,ppl/1000 ft2,2,,
55,Miscellaneous Spaces,"Sorting, packing, light assembly",7.5,cfm/person,0.12,cfm/ft2,7,ppl/1000 ft2,2,,
56,Miscellaneous Spaces,Telephone closets,,cfm/person,0,cfm/ft2,,ppl/1000 ft2,1,,
57,Miscellaneous Spaces,Transportation waiting,7.5,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,1,yes,
58,Miscellaneous Spaces,Warehouses,10,cfm/person,0.06,cfm/ft2,,ppl/1000 ft2,2,,
59,Office Buildings,Breakrooms,5,cfm/person,0.12,cfm/ft2,50,ppl/1000 ft2,1,,
60,Office Buildings,Main entry lobbies,5,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,1,yes,
61,Office Buildings,Occupiable storage rooms for dry materials,5,cfm/person,0.06,cfm/ft2,2,ppl/1000 ft2,1,,
62,Office Buildings,Office space,5,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,1,yes,
63,Office Buildings,Reception areas,5,cfm/person,0.06,cfm/ft2,30,ppl/1000 ft2,1,yes,
64,Office Buildings,Telephone/data entry,5,cfm/person,0.06,cfm/ft2,60,ppl/1000 ft2,1,yes,
65,Outpatient Health Care Facilities,Birthing room,10,cfm/person,0.18,cfm/ft2,15,ppl/1000 ft2,2,,
66,Outpatient Health Care Facilities,Class 1 imaging rooms,5,cfm/person,0.12,cfm/ft2,5,ppl/1000 ft2,1,,
