id,method,lighting_primary_space_type,lighting_per_area,lighting_secondary_space_type,lighting_per_area_unit,annotation
1,BA,Automotive facility,0.75,General,W/ft2,
2,BA,Convention center,0.64,General,W/ft2,
3,BA,Courthouse,0.79,General,W/ft2,
4,BA,Dining: Bar lounge/leisure,0.8,General,W/ft2,
5,BA,Dining: Cafeteria/fast food,0.76,General,W/ft2,
6,BA,Dining: Family,0.71,General,W/ft2,
7,BA,Dormitory,0.53,General,W/ft2,
8,BA,Exercise center,0.72,General,W/ft2,
9,BA,Fire station,0.56,General,W/ft2,
10,BA,Gymnasium,0.76,General,W/ft2,
11,BA,Health-care clinic,0.81,General,W/ft2,
12,BA,Hospital,0.96,General,W/ft2,
13,BA,Hotel/motel,0.56,General,W/ft2,
14,BA,Library,0.83,General,W/ft2,
15,BA,Manufacturing facility,0.82,General,W/ft2,
16,BA,Motion picture theater,0.44,General,W/ft2,
17,BA,Multifamily,0.45,General,W/ft2,
18,BA,Museum,0.55,General,W/ft2,
19,BA,Office,0.64,General,W/ft2,
20,BA,Parking garage,0.18,General,W/ft2,
21,BA,Penitentiary,0.69,General,W/ft2,
22,BA,Performing arts theater,0.84,General,W/ft2,
23,BA,Police station,0.66,General,W/ft2,
24,BA,Post office,0.65,General,W/ft2,
25,BA,Religious facility,0.67,General,W/ft2,
26,BA,Retail,0.84,General,W/ft2,
27,BA,School/university,0.72,General,W/ft2,
28,BA,Sports arena,0.76,General,W/ft2,
29,BA,Town hall,0.69,General,W/ft2,
30,BA,Transportation,0.5,General,W/ft2,
31,BA,Warehouse,0.45,General,W/ft2,
32,BA,Workshop,0.91,General,W/ft2,
33,CS,Atrium,0.39,< 20 ft in height,W/ft2,
34,CS,Atrium,0.48,>= 20 ft and <= 40 ft in height,W/ft2,
35,CS,Atrium,0.6,> 40 ft in height,W/ft2,
36,CS,Audience Seating Area,0.61,Auditorium,W/ft2,
37,CS,Audience Seating Area,0.23,Gymnasium,W/ft2,
38,CS,Audience Seating Area,0.27,Motion picture theater,W/ft2,
39,CS,Audience Seating Area,0.67,Penitentiary,W/ft2,
40,CS,Audience Seating Area,1.16,Performing arts theater,W/ft2,
41,CS,Audience Seating Area,0.72,Religious facility,W/ft2,
42,CS,Audience Seating Area,0.33,Sports arena,W/ft2,
43,CS,Audience Seating Area,0.23,All other audience seating areas,W/ft2,
44,CS,Banking Activity Area,0.61,General,W/ft2,
45,CS,Breakroom,0.59,General,W/ft2,(See Lounge/Breakroom)
46,CS,Classroom/Lecture Hall/Training Room,0.89,Penitentiary,W/ft2,
47,CS,Classroom/Lecture Hall/Training Room,0.71,All other classrooms/lecture halls/training rooms,W/ft2,
48,CS,Conference/Meeting/Multipurpose Room,0.97,General,W/ft2,
49,CS,Confinement Cells,0.7,General,W/ft2,
50,CS,Copy/Print Room,0.31,General,W/ft2,
51,CS,Corridor,0.71,Facility for the visually impaired (and not used primarily by the staff),W/ft2,
52,CS,Corridor,0.71,Hospital,W/ft2,
53,CS,Corridor,0.41,All other corridors,W/ft2,
54,CS,Courtroom,1.2,General,W/ft2,
55,CS,Computer Room,0.94,General,W/ft2,
56,CS,Dining Area,0.42,Penitentiary,W/ft2,
57,CS,Dining Area,1.27,Facility for the visually impaired (and not used primarily by staff),W/ft2,
58,CS,Dining Area,0.86,Bar/lounge or leisure dining,W/ft2,
59,CS,Dining Area,0.4,Cafeteria or fast food dining,W/ft2,
60,CS,Dining Area,0.6,Family dining,W/ft2,
61,CS,Dining Area,0.43,All other dining areas,W/ft2,
62,CS,Electrical/Mechanical Room,0.43,General,W/ft2,
63,CS,Emergency Vehicle Garage,0.52,General,W/ft2,
64,CS,Food Preparation Area,1.09,General,W/ft2,
65,CS,Guest Room,0.41,General,W/ft2,
66,CS,Laboratory,1.11,In or as a classroom,W/ft2,
67,CS,Laboratory,1.33,All other laboratories,W/ft2,
68,CS,Laundry/Washing Area,0.53,General,W/ft2,
69,CS,"Loading Dock, Interior",0.88,General,W/ft2,
70,CS,Lobby,1.69,Facility for the visually impaired (and not used primarily by the staff),W/ft2,
71,CS,Lobby,0.65,Elevator,W/ft2,
72,CS,Lobby,0.51,Hotel,W/ft2,
73,CS,Lobby,0.23,Motion picture theater,W/ft2,
74,CS,Lobby,1.25,Performing arts theater ,W/ft2,
75,CS,Lobby,0.84,All other lobbies,W/ft2,
76,CS,Locker Room,0.52,General,W/ft2,
77,CS,Lounge/Breakroom,0.42,Healthcare facility,W/ft2,
78,CS,Lounge/Breakroom,0.59,All other lounges/breakrooms,W/ft2,
79,CS,Office,0.74,Enclosed and <= 250 ft2,W/ft2,
80,CS,Office,0.66,Enclosed and > 250 ft2,W/ft2,
81,CS,Office,0.61,Open plan,W/ft2,
82,CS,"Parking Area, Interior",0.15,General,W/ft2,
83,CS,Pharmacy Area,1.66,General,W/ft2,
84,CS,Restroom,1.26,Facility for the visually impaired (and not used primarily by the staff),W/ft2,
85,CS,Restroom,0.63,All other restrooms,W/ft2,
86,CS,Sales Area,1.05,General,W/ft2,
87,CS,"Seating Area, General",0.23,General,W/ft2,
88,CS,Stairway,0.49,General,W/ft2,The space containing the stairway shall determine the LPD and control requirements for the stairway.
89,CS,Stairwell,0.49,General,W/ft2,
90,CS,Storage Room,0.51,< 50 ft2,W/ft2,
91,CS,Storage Room,0.38,>= 50 ft2,W/ft2,
92,CS,Vehicular Maintenance Area,0.6,General,W/ft2,
93,CS,Workshop,1.26,General,W/ft2,
94,SS,Facility for the Visually Impaired,0.7,Chapel (used primarily by residents),W/ft2,
95,SS,Facility for the Visually Impaired,1.77,Recreation room/common living room (and not used primarily by staff),W/ft2,
96,SS,Automotive,0.6,General,W/ft2,(See Vehicular Maintenance Area)
97,SS,Convention Center-Exhibit Space,0.61,General,W/ft2,
98,SS,Dormitory-Living Quarters,0.5,General,W/ft2,
99,SS,Fire Station-Sleeping Quarters,0.23,General,W/ft2,
100,SS,Gymnasium/Fitness Center,0.9,Exercise area,W/ft2,
101,SS,Gymnasium/Fitness Center,0.85,Playing area,W/ft2,
102,SS,Healthcare Facility,1.4,Exam/treatment room,W/ft2,
103,SS,Healthcare Facility,0.94,Imaging room,W/ft2,
104,SS,Healthcare Facility,0.62,Medical supply room,W/ft2,
105,SS,Healthcare Facility,0.92,Nursery,W/ft2,
106,SS,Healthcare Facility,1.17,Nurse's station,W/ft2,
107,SS,Healthcare Facility,2.26,Operating room,W/ft2,
108,SS,Healthcare Facility,0.68,Patient room,W/ft2,
109,SS,Healthcare Facility,0.91,Physical therapy room,W/ft2,
110,SS,Healthcare Facility,1.25,Recovery room,W/ft2,
111,SS,Library,0.96,Reading area,W/ft2,
112,SS,Library,1.18,Stacks,W/ft2,
113,SS,Manufacturing Facility,0.8,Detailed manufacturing area,W/ft2,
114,SS,Manufacturing Facility,0.76,Equipment room,W/ft2,
115,SS,Manufacturing Facility,1.42,Extra high bay area (> 50 ft floor-to-ceiling height),W/ft2,
116,SS,Manufacturing Facility,1.24,High bay area (25 to 50 ft floor-to-ceiling height),W/ft2,
117,SS,Manufacturing Facility,0.86,Low bay area (< 25 ft floor-to-ceiling height),W/ft2,
118,SS,Museum,0.31,General exhibition area,W/ft2,
119,SS,Museum,1.1,Restoration room,W/ft2,
120,SS,Performing Arts Theater-Dressing Room,0.41,General,W/ft2,
121,SS,Post Office-Sorting Area,0.76,General,W/ft2,
122,SS,Religious Facility,0.54,Fellowship hall,W/ft2,
123,SS,Religious Facility,0.85,Worship/pulpit/choir area,W/ft2,
124,SS,Retail Facilities,0.51,Dressing/fitting room,W/ft2,
125,SS,Retail Facilities,0.82,Mall concourse,W/ft2,
126,SS,Sports Aren-Playing Area,2.94,Class I facility,W/ft2,
127,SS,Sports Arena-Playing Area,2.01,Class II facility,W/ft2,
128,SS,Sports Arena-Playing Area,1.3,Class III facility,W/ft2,
129,SS,Sports Arena-Playing Area,0.86,Class IV facility,W/ft2,
130,SS,Transportation Facility,0.39,Baggage/carousel area,W/ft2,
131,SS,Transportation Facility,0.25,Airport concourse,W/ft2,
132,SS,Transportation Facility,0.51,Ticket counter,W/ft2,
133,SS,Warehouse-Storage Area,0.33,"Medium to bulky, palletized items",W/ft2,
134,SS,Warehouse-Storage Area,0.69,"Smaller, hand-carried items",W/ft2,
135,SS,Retail,0.45,Sales Additional (Retail Area 1),W/ft2,
136,SS,Retail,0.45,Sales Additional (Retail Area 2),W/ft2,
137,SS,Retail,1.05,Sales Additional (Retail Area 3),W/ft2,
138,SS,Retail,1.88,Sales Additional (Retail Area 4),W/ft2,
