sheets,columns,Skip?
Boilers,Template,
Boilers,Fluid Type,
Boilers,Fuel Type,
Boilers,Condensing,YES
Boilers,Condensing Control,YES
Boilers,Minimum Capacity (Btu/hr),
Boilers,Maximum Capacity (Btu/hr),
Boilers,Start Date,YES
Boilers,End Date,YES
Boilers,Minimum Annual Fuel Utilization Efficiency (AFUE),
Boilers,Minimum Thermal Efficiency (%),
Boilers,Minimum Combustion Efficiency (%),
Boilers,EFFFPLR,YES
Boilers,Notes,
Chillers,Template,
Chillers,Cooling Type,
Chillers,Condenser Type,
Chillers,Compressor Type,
Chillers,Absorption Type,
Chillers,Variable Speed Drive,
Chillers,Minimum Capacity (Tons),
Chillers,Maximum Capacity (Tons),
Chillers,Start Date,YES
Chillers,End Date,YES
Chillers,Minimum Full Load Efficiency (kW/ton),
Chillers,Minimum Integrated Part Load Value (kW/ton),
Chillers,CAPFT,YES
Chillers,EIRFT,YES
Chillers,EIRFPLR,YES
Chillers,Notes,
Economizers,Template,
Economizers,Climate Zone,
Economizers,Data Center,
Economizers,Capacity Limit (Btu/hr),
Economizers,Fixed Dry Bulb High Limit Shutoff Temp (F),
Economizers,Notes,
Heat Pumps,Template,
Heat Pumps,Cooling Type,
Heat Pumps,Heating Type,
Heat Pumps,Subcategory,
Heat Pumps,Minimum Capacity (Btu/hr),
Heat Pumps,Maximum Capacity (Btu/hr),
Heat Pumps,Start Date,YES
Heat Pumps,End Date,YES
Heat Pumps,Minimum Seasonal Efficiency (SEER),
Heat Pumps,Minimum Full Load Efficiency (EER),
Heat Pumps,Minimum IPLV,
Heat Pumps,Minimum Integrated Energy Efficiency Ratio (IEER),
Heat Pumps,PTHP_EER_Coefficient_1,
Heat Pumps,PTHP_EER_Coefficient_2,
Heat Pumps,COPnfcooling,
Heat Pumps,COOL CAP FT,
Heat Pumps,COOL CAP FFLOW,
Heat Pumps,COOL EIR FT,
Heat Pumps,COOL EIR FFLOW,
Heat Pumps,COOL PLF FPLR,
Heat Pumps,Notes,
Heat Pumps Heating,Template,
Heat Pumps Heating,Cooling Type,
Heat Pumps Heating,Subcategory,
Heat Pumps Heating,Minimum Capacity (Btu/hr),
Heat Pumps Heating,Maximum Capacity (Btu/hr),
Heat Pumps Heating,Start Date,YES
Heat Pumps Heating,End Date,YES
Heat Pumps Heating,Minimum Heating Seasonal Performance Factor,
Heat Pumps Heating,Minimum Coefficient of Performance Heating (COP_47F),
Heat Pumps Heating,Minimum Energy Efficiency Ratio (EER),
Heat Pumps Heating,PTHP_COP_Coefficient_1,
Heat Pumps Heating,PTHP_COP_Coefficient_2,
Heat Pumps Heating,COPnfcooling,
Heat Pumps Heating,HEAT CAP FT,YES
Heat Pumps Heating,HEAT CAP FFLOW,YES
Heat Pumps Heating,HEAT EIR FT,YES
Heat Pumps Heating,HEAT EIR FFLOW,YES
Heat Pumps Heating,HEAT PLF FPLR,YES
Heat Pumps Heating,Notes,
Heat Rejection,Template,
Heat Rejection,Equipment Type,
Heat Rejection,Fan Type,
Heat Rejection,Start Date,YES
Heat Rejection,End Date,YES
Heat Rejection,Minimum Performance (gal/min*hp),
Heat Rejection,Notes,
HVAC Inference,Template,
HVAC Inference,Size Category,
HVAC Inference,Heating Source,
HVAC Inference,Cooling Source,
HVAC Inference,Delivery Type,
HVAC Inference,HVAC System Type,
HVAC Inference,Central Heating Fuel,
HVAC Inference,Zone Heating Fuel,
HVAC Inference,Cooling Fuel,
Motors,Template,
Motors,Number of Poles,
Motors,Type,
Motors,Synchronous Speed (RPM),
Motors,Minimum Capacity (HP),
Motors,Maximum Capacity (HP),
Motors,Nominal Full Load Efficiency (%),
Motors,Notes,
Unitary ACs,Template,
Unitary ACs,Cooling Type,
Unitary ACs,Heating Type,
Unitary ACs,Subcategory,
Unitary ACs,Minimum Capacity (Btu/hr),
Unitary ACs,Maximum Capacity (Btu/hr),
Unitary ACs,Start Date,
Unitary ACs,End Date,
Unitary ACs,Minimum Seasonal Energy Efficiency Ratio (SEER),
Unitary ACs,Minimum Energy Efficiency Ratio (EER),
Unitary ACs,Minimum Integrated Part Load Value (kW/ton),
Unitary ACs,Minimum Integrated Energy Efficiency Ratio (IEER),
Unitary ACs,PTAC_EER_Coefficient_1,
Unitary ACs,PTAC_EER_Coefficient_2,
Unitary ACs,Minimum SCOP,
Unitary ACs,COPnfcooling,
Unitary ACs,COOL CAP FT,YES
Unitary ACs,COOL CAP FFLOW,YES
Unitary ACs,COOL EIR FT,YES
Unitary ACs,COOL EIR FFLOW,YES
Unitary ACs,COOL PLF FPLR,YES
Unitary ACs,Notes,
Water Heaters,Template,
Water Heaters,Fuel Type,
Water Heaters,Minimum Capacity (Btu/hr),
Water Heaters,Maximum Capacity (Btu/hr),
Water Heaters,Start Date,YES
Water Heaters,End Date,YES
Water Heaters,Energy Factor Base (%),
Water Heaters,Energy Factor Volume Derate (%/gal),
Water Heaters,Standby Loss Base (Btu/hr),
Water Heaters,Standby Loss Capacity Allowance (Btu/hr/Btu/hr),
Water Heaters,Standby Loss Volume Allowance (Btu/hr/gal),
Water Heaters,Hourly Loss Base (%),
Water Heaters,Hourly Loss Volume Allowance (%/gal),
Water Heaters,Thermal Efficiency (%),
Water Heaters,Notes,
Water Source Heat Pumps,Template,
Water Source Heat Pumps,Minimum Capacity (Btu/hr),
Water Source Heat Pumps,Maximum Capacity (Btu/hr),
Water Source Heat Pumps,Start Date,YES
Water Source Heat Pumps,End Date,YES
Water Source Heat Pumps,Minimum Full Load Efficiency (EER),
Water Source Heat Pumps,Notes,
Water Source Heat Pumps Heating,Template,
Water Source Heat Pumps Heating,Minimum Capacity (Btu/hr),
Water Source Heat Pumps Heating,Maximum Capacity (Btu/hr),
Water Source Heat Pumps Heating,Start Date,YES
Water Source Heat Pumps Heating,End Date,YES
Water Source Heat Pumps Heating,Minimum Coefficient of Performance Heating (COP_68F),
Water Source Heat Pumps Heating,Notes,
Window Types and Weights,Unnamed: 0,
Window Types and Weights,Fixed,
Window Types and Weights,Operable (not including entrance doors),
Window Types and Weights,Nonmetal,
Window Types and Weights,Metal Curtainwall / Storefront,
Window Types and Weights,Metal Entrance Door,
Window Types and Weights,Metal - all other,
Window Types and Weights,U,
Window Types and Weights,SHGC,
Construction Properties,Template,
Construction Properties,Climate Zone Set,
Construction Properties,Operation Type,
Construction Properties,Intended Surface Type,
Construction Properties,Standards Construction Type,
Construction Properties,Building Category,
Construction Properties,Construction,
Construction Properties,Orientation,
Construction Properties,Minimum Percent of Surface,
Construction Properties,Maximum Percent of Surface,
Construction Properties,Assembly Maximum U-Value,
Construction Properties,U-Value Includes Interior Film Coefficient,
Construction Properties,U-Value Includes Exterior Film Coefficient,
Construction Properties,Assembly Maximum F Factor,
Construction Properties,Assembly Maximum C Factor,
Construction Properties,Assembly Maximum Solar Heat Gain Coefficient,
Construction Properties,Assembly Minimum VT SHGC,
Construction Properties,Notes,
Exterior Lighting,Exterior Lighting Zone Number,
Exterior Lighting,Exerior Lighting Zone Name,
Exterior Lighting,Template,
Exterior Lighting,Control Option,
Exterior Lighting,Building Facade and Landscape Automatic Shut Off,
Exterior Lighting,Occupancy Setback Reduction (fraction),
Exterior Lighting,Base Site Allowance Power (W),
Exterior Lighting,Base Site Allowance Fraction (fraction),
