sheets,columns,Skip?
Templates,Name,YES
Templates,Notes,YES
Standards,Name,YES
Prototype Inputs,Template,
Prototype Inputs,Building Type,
Prototype Inputs,HVAC System,
Prototype Inputs,Geometry OSM,
Prototype Inputs,HVAC JSON,
Prototype Inputs,CHW Pumping Type,
Prototype Inputs,Chiller Cooling Type,
Prototype Inputs,Chiller Condenser Type,
Prototype Inputs,Chiller Compressor Type,
Prototype Inputs,Chiller Capacity Guess (Tons),
Prototype Inputs,PSZAC Cooling Type,
Prototype Inputs,PSZAC Heating Type,
Prototype Inputs,PSZAC Fan Type,
Prototype Inputs,PSZAC Supplemental Heating Type,
Prototype Inputs,PSZAC Operation Schedule,
Prototype Inputs,PSZAC OA Damper Schedule,
Prototype Inputs,PSZAC Operation Schedule 2,
Prototype Inputs,PSZAC OA Damper Schedule 2,
Prototype Inputs,PSZAC Operation Schedule 3,
Prototype Inputs,PSZAC OA Damper Schedule 3,
Prototype Inputs,Occ Sensing Exterior Lighting Power (W),
Prototype Inputs,Occ Sensing Exterior Lighting Schedule,
Prototype Inputs,NonDimming Exterior Lighting Power (W),
Prototype Inputs,NonDimming Exterior Lighting Schedule,
Prototype Inputs,Exterior Fuel Equipment1 Power (W),
Prototype Inputs,Exterior Fuel Equipment1 Schedule,
Prototype Inputs,Exterior Fuel Equipment2 Power (W),
Prototype Inputs,Exterior Fuel Equipment2 Schedule,
Prototype Inputs,Main Water Heater Volume (gal),
Prototype Inputs,Main Water Heater Fuel,
Prototype Inputs,Main Water Heater Capacity (Btu/hr),
Prototype Inputs,Main Service Water Temperature (F),
Prototype Inputs,Main Service Water FlowRate Schedule,
Prototype Inputs,Main Water Heater Space Name,
Prototype Inputs,Main Service Water Peak FlowRate (gal/min),
Prototype Inputs,Main Off Cycle Parasitic Heat Fraction to Tank,
Prototype Inputs,Other Off Cycle Parasitic Heat Fraction to Tank,
Prototype Inputs,Main Water Use Temperature (F),
Prototype Inputs,Main Service Water Temperature at Fixture (F),
Prototype Inputs,Main Service Water Pump Head (Pa),
Prototype Inputs,Main Service Water Pump Motor Efficiency (%),
Prototype Inputs,Main Service Water Parasitic Fuel Consumption Rate (Btu/h),
Prototype Inputs,Laundry Water Heater Volume (gal),
Prototype Inputs,Laundry Water Heater Fuel,
Prototype Inputs,Laundry Water Heater Capacity (Btu/hr),
Prototype Inputs,Laundry Service Water Temperature (F),
Prototype Inputs,Laundry Service Water FlowRate Schedule,
Prototype Inputs,Laundry Service Water Peak FlowRate (gal/min),
Prototype Inputs,Laundry Water Use Temperature (F),
Prototype Inputs,Laundry Service Water Temperature at Fixture (F),
Prototype Inputs,Laundry Service Water Pump Head (Pa),
Prototype Inputs,Laundry Service Water Pump Motor Efficiency (%),
Prototype Inputs,Laundry Service Water Parasitic Fuel Consumption Rate (Btu/h),
Prototype Inputs,Booster Water Heater Volume (gal),
Prototype Inputs,Booster Water Heater Fuel,
Prototype Inputs,Booster Water Heater Capacity (Btu/hr),
Prototype Inputs,Booster Service Water FlowRate Schedule,
Prototype Inputs,Booster Water Heater Space Name,
Prototype Inputs,Booster Service Water Peak FlowRate (gal/min),
Prototype Inputs,Booster Water Use Temperature (F),
Prototype Inputs,Booster Water Temperature (F),
Prototype Inputs,Booster Service Water Parasitic Fuel Consumption Rate (Btu/h),
Prototype Inputs,Typical Heating Setpoint,
Prototype Inputs,Typical Cooling Setpoint,
Prototype Inputs,PTAC Cooling Type,
Prototype Inputs,PTAC Heating Type,
Prototype Inputs,PTAC Fan Type,
Prototype Inputs,PTAC Operation Schedule,
Prototype Inputs,PTAC OA Damper Schedule,
Prototype Inputs,SAC Cooling Type,
Prototype Inputs,SAC Heating Type,
Prototype Inputs,SAC Fan Type,
Prototype Inputs,SAC Operation Schedule,
Prototype Inputs,SAC Operation Schedule Meeting,
Prototype Inputs,SAC OA Damper Schedule,
Prototype Inputs,UnitHeater Heating Type,
Prototype Inputs,UnitHeater Fan Type,
Prototype Inputs,UnitHeater Fan Control Type,
Prototype Inputs,UnitHeater Fan Static Pressure (inH20),
Prototype Inputs,UnitHeater Operation Schedule,
Prototype Inputs,VAV Operation Schedule,
Prototype Inputs,VAV OA Damper Schedule,
Prototype Inputs,VAV Fan Efficiency,
Prototype Inputs,VAV Fan Pressure Rise (Pa),
Prototype Inputs,VAV Fan Motor Efficiency,
Prototype Inputs,"DOAS Fan Maximum Flow Rate (cfm)
",
